team,year,home_away,opp,win_loss,team_score,opp_score,team_fg,team_fga,team_fg_pct,team_3p,team_3pa,team_3p_pct,team_ft,team_fta,team_ft_pct,team_orb,team_trb,team_ast,team_stl,team_blk,team_tov,team_pf,opponent_fg,opponent_fga,opponent_fg_pct,opponent_3p,opponent_3pa,opponent_3p_pct,opponent_ft,opponent_fta,opponent_ft_pct,opponent_orb,opponent_trb,opponent_ast,opponent_stl,opponent_blk,opponent_tov,opponent_pf,day,month
ATL,2020,,DAL,W,105,95,34,62,.548,7,17,.412,30,34,.882,4,34,19,7,4,16,21,34,78,.436,13,28,.464,14,20,.700,8,29,18,10,1,13,27,26.0,7.0
ATL,2020,@,LVA,L,70,100,28,70,.400,5,28,.179,9,14,.643,7,25,12,12,5,16,24,38,71,.535,6,9,.667,18,26,.692,14,47,16,11,1,19,14,29.0,7.0
ATL,2020,,NYL,W,84,78,28,75,.373,3,10,.300,25,31,.806,17,43,11,8,2,15,20,28,72,.389,7,29,.241,15,17,.882,8,33,13,8,11,15,23,31.0,7.0
ATL,2020,@,IND,L,77,93,33,69,.478,4,11,.364,7,8,.875,5,26,18,6,0,12,22,34,66,.515,8,20,.400,17,21,.810,9,32,26,5,5,15,13,2.0,8.0
ATL,2020,,PHO,L,74,81,29,62,.468,4,13,.308,12,13,.923,5,35,15,7,2,23,25,29,75,.387,4,20,.200,19,22,.864,10,33,19,7,2,10,18,4.0,8.0
ATL,2020,,SEA,L,92,93,31,68,.456,10,27,.370,20,20,1.000,7,37,12,7,5,17,22,31,73,.425,6,21,.286,25,27,.926,8,33,21,11,3,11,18,6.0,8.0
ATL,2020,@,DAL,L,75,85,29,71,.408,8,19,.421,9,13,.692,11,31,13,4,7,12,13,31,67,.463,10,25,.400,13,15,.867,10,39,17,9,4,13,15,8.0,8.0
ATL,2020,,CON,L,82,93,30,65,.462,11,18,.611,11,16,.688,5,31,21,3,3,19,17,36,77,.468,9,24,.375,12,20,.600,15,36,19,15,6,8,15,10.0,8.0
ATL,2020,@,SEA,L,63,100,27,74,.365,8,29,.276,1,1,1.000,10,30,18,6,2,14,12,35,62,.565,18,30,.600,12,13,.923,2,34,31,6,3,12,11,12.0,8.0
ATL,2020,@,PHO,L,80,96,32,76,.421,8,20,.400,8,16,.500,12,35,22,5,8,12,18,32,65,.492,12,25,.480,20,23,.870,4,30,24,9,4,10,17,14.0,8.0
ATL,2020,,CHI,L,67,92,27,68,.397,2,14,.143,11,18,.611,8,26,11,6,2,16,13,37,64,.578,7,14,.500,11,12,.917,5,37,25,7,6,17,19,16.0,8.0
ATL,2020,@,WAS,L,91,98,38,69,.551,8,18,.444,7,12,.583,13,35,26,5,2,14,18,35,70,.500,12,34,.353,16,20,.800,9,28,27,7,0,11,17,19.0,8.0
ATL,2020,,LAS,L,85,93,33,69,.478,8,19,.421,11,18,.611,7,34,27,12,1,29,27,30,67,.448,8,18,.444,25,30,.833,7,36,21,14,2,21,24,21.0,8.0
ATL,2020,@,MIN,W,78,75,32,67,.478,6,15,.400,8,12,.667,8,32,23,8,4,14,15,29,70,.414,6,25,.240,11,12,.917,10,31,16,8,3,13,12,23.0,8.0
ATL,2020,,MIN,L,79,88,31,69,.449,6,16,.375,11,16,.688,6,34,18,5,4,16,24,29,72,.403,7,28,.250,23,25,.920,11,40,22,9,3,13,19,28.0,8.0
ATL,2020,@,LAS,L,79,84,31,75,.413,5,11,.455,12,16,.750,15,45,16,6,3,15,16,36,72,.500,4,14,.286,8,11,.727,7,34,19,8,3,13,17,30.0,8.0
ATL,2020,,IND,W,102,90,37,69,.536,10,20,.500,18,22,.818,6,32,21,7,2,9,25,31,70,.443,6,19,.316,22,29,.759,13,36,19,6,5,12,15,1.0,9.0
ATL,2020,@,NYL,W,62,56,26,81,.321,2,18,.111,8,9,.889,12,49,11,9,8,12,14,19,73,.260,6,35,.171,12,17,.706,12,47,10,8,5,16,12,3.0,9.0
ATL,2020,,LVA,L,79,89,34,76,.447,1,12,.083,10,15,.667,7,30,16,9,4,9,17,33,63,.524,4,12,.333,19,23,.826,5,38,19,8,3,16,17,5.0,9.0
ATL,2020,@,CHI,W,97,89,37,80,.463,8,13,.615,15,17,.882,12,41,19,9,2,9,12,35,75,.467,8,24,.333,11,13,.846,6,35,22,6,4,11,13,9.0,9.0
ATL,2020,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,,
ATL,2020,@,CON,W,82,75,31,77,.403,3,11,.273,17,21,.810,10,42,14,9,3,8,17,28,64,.438,6,21,.286,13,20,.650,5,36,16,4,5,13,19,11.0,9.0
ATL,2020,,WAS,L,78,85,33,71,.465,3,12,.250,9,13,.692,12,40,8,1,0,9,16,30,67,.448,7,25,.280,18,18,1.000,4,27,21,6,5,1,13,13.0,9.0
CHI,2020,@,LVA,W,88,86,34,74,.459,9,27,.333,11,14,.786,7,33,25,7,3,16,23,36,77,.468,0,5,.000,14,19,.737,11,42,23,8,0,17,20,26.0,7.0
CHI,2020,,LAS,W,96,78,37,68,.544,11,25,.440,11,14,.786,5,38,25,9,2,15,17,30,70,.429,7,20,.350,11,15,.733,7,30,18,10,2,16,15,28.0,7.0
CHI,2020,@,MIN,L,81,83,31,69,.449,6,24,.250,13,17,.765,8,33,18,8,3,14,22,30,64,.469,6,17,.353,17,22,.773,10,35,17,10,4,15,22,30.0,7.0
CHI,2020,,WAS,W,88,86,36,70,.514,12,25,.480,4,7,.571,4,35,25,7,5,17,19,31,74,.419,8,22,.364,16,20,.800,7,35,20,10,1,14,12,1.0,8.0
CHI,2020,,DAL,W,82,79,32,69,.464,9,20,.450,9,12,.750,10,40,19,7,2,13,15,29,72,.403,10,28,.357,11,14,.786,9,31,12,9,5,10,17,4.0,8.0
CHI,2020,@,PHO,L,86,96,32,70,.457,9,24,.375,13,16,.813,12,34,19,12,4,19,28,32,61,.525,10,19,.526,22,26,.846,4,27,17,8,7,21,19,6.0,8.0
CHI,2020,@,CON,W,100,93,32,58,.552,7,18,.389,29,32,.906,7,29,21,12,1,21,19,35,63,.556,7,14,.500,16,21,.762,4,21,22,12,2,19,25,8.0,8.0
CHI,2020,@,SEA,L,71,89,28,64,.438,7,19,.368,8,10,.800,6,27,18,8,5,21,10,36,70,.514,9,17,.529,8,13,.615,6,28,25,17,5,13,13,10.0,8.0
CHI,2020,,PHO,W,89,71,36,66,.545,1,11,.091,16,20,.800,12,38,20,9,2,15,21,27,65,.415,7,19,.368,10,17,.588,9,26,17,7,3,14,16,12.0,8.0
CHI,2020,,CON,L,74,77,28,61,.459,4,20,.200,14,17,.824,6,32,18,3,8,15,18,29,76,.382,5,15,.333,14,24,.583,12,36,17,9,3,8,18,14.0,8.0
