Player,Year,Rk,Date,Age,Tm,home_away,Opp,win_margin,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
Tianna Hawkins,2020,1,2020-07-25,29.4,WAS,home,IND,25.0,0,2.0,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-0.7
Tianna Hawkins,2020,2,2020-08-05,29.4,WAS,home,LVA,-6.0,0,16.2,3,8,0.375,1,4,0.25,0,0,,0,1,1,1,2,0,1,3,7,3.4
Tianna Hawkins,2020,3,2020-08-07,29.4,WAS,home,NYL,-8.0,0,17.2,0,4,0.0,0,3,0.0,0,0,,0,5,5,1,0,1,2,2,0,-2.7
Tianna Hawkins,2020,4,2020-08-09,29.4,WAS,home,IND,-7.0,0,22.0,5,11,0.455,2,5,0.4,5,7,0.714,3,7,10,0,2,0,0,3,17,15.5
Tianna Hawkins,2020,5,2020-08-11,29.4,WAS,home,MIN,-20.0,1,24.1,3,8,0.375,2,3,0.667,2,2,1.0,2,4,6,3,2,1,1,3,10,10.8
Tianna Hawkins,2020,6,2020-08-13,29.4,WAS,home,LAS,-17.0,1,23.0,1,5,0.2,1,4,0.25,0,0,,0,3,3,2,0,0,2,2,3,-0.6
Tianna Hawkins,2020,7,2020-08-15,29.5,WAS,home,LVA,-15.0,1,27.8,5,13,0.385,2,7,0.286,0,0,,4,3,7,2,1,0,4,3,12,5.8
Tianna Hawkins,2020,8,2020-08-19,29.5,WAS,home,ATL,7.0,0,16.4,3,7,0.429,1,3,0.333,2,3,0.667,1,1,2,1,2,0,1,4,9,6.0
Tianna Hawkins,2020,9,2020-08-21,29.5,WAS,home,DAL,-9.0,1,22.4,5,7,0.714,1,3,0.333,0,0,,0,5,5,1,1,1,2,1,11,9.6
Tianna Hawkins,2020,10,2020-08-23,29.5,WAS,home,PHO,-1.0,1,31.5,7,15,0.467,3,6,0.5,2,2,1.0,2,3,5,2,0,1,2,3,19,12.5
Tianna Hawkins,2020,11,2020-08-28,29.5,WAS,home,PHO,-22.0,0,17.7,5,10,0.5,2,3,0.667,1,2,0.5,0,1,1,0,0,0,1,5,13,4.9
Tianna Hawkins,2020,12,2020-08-30,29.5,WAS,home,CON,-13.0,0,23.2,1,7,0.143,0,2,0.0,1,1,1.0,0,2,2,1,1,1,3,3,3,-2.7
Tianna Hawkins,2020,13,2020-09-02,29.5,WAS,home,SEA,-7.0,0,22.4,4,9,0.444,1,3,0.333,1,1,1.0,0,3,3,1,1,1,0,4,10,7.0
Tianna Hawkins,2020,14,2020-09-04,29.5,WAS,home,CHI,10.0,0,18.7,1,6,0.167,0,3,0.0,0,0,,0,2,2,0,0,0,1,0,2,-2.2
Tianna Hawkins,2020,15,2020-09-06,29.5,WAS,home,DAL,-7.0,0,15.4,3,7,0.429,0,2,0.0,2,2,1.0,0,3,3,1,0,0,0,4,8,4.3
