team,year,month,day,home_away,opp,win_loss,team_score,opp_score,advanced_ortg,advanced_drtg,advanced_pace,advanced_ftr,advanced_3par,advanced_ts_pct,advanced_trb_pct,advanced_ast_pct,advanced_stl_pct,advanced_blk_pct,offensive_four_factors_efg_pct,offensive_four_factors_tov_pct,offensive_four_factors_orb_pct,offensive_four_factors_ft_per_fga,defensive_four_factors_efg_pct,defensive_four_factors_tov_pct,defensive_four_factors_drb_pct,defensive_four_factors_ft_per_fga
ATL,2024,5,15,1,LAS,1,92,81,114.0,100.4,80.7,0.284,0.254,0.61,49.3,58.8,9.9,22.0,0.567,14.7,20.6,0.239,0.472,11.9,77.1,0.181
ATL,2024,5,18,1,PHO,2,85,88,103.6,107.3,82.0,0.409,0.348,0.546,46.5,77.8,9.8,11.6,0.485,14.3,18.4,0.318,0.455,13.0,78.8,0.424
ATL,2024,5,21,1,DAL,1,83,78,107.0,100.5,77.6,0.306,0.306,0.508,50.7,56.7,11.6,5.6,0.465,12.8,35.1,0.222,0.443,15.1,67.6,0.229
ATL,2024,5,26,1,MIN,2,79,92,107.0,124.6,73.8,0.206,0.324,0.533,50.8,74.2,12.2,3.0,0.5,11.9,27.8,0.162,0.605,12.2,81.5,0.274
ATL,2024,5,29,1,WAS,1,73,67,92.0,84.4,79.4,0.339,0.339,0.512,53.7,73.1,11.3,4.3,0.468,19.3,18.5,0.242,0.405,14.4,77.5,0.095
ATL,2024,5,31,1,LVA,1,78,74,95.0,90.1,82.1,0.475,0.262,0.529,52.8,77.3,6.1,8.3,0.426,13.0,8.8,0.426,0.406,12.4,92.1,0.261
ATL,2024,6,2,1,CON,2,50,69,65.7,90.7,76.1,0.179,0.239,0.346,42.3,52.6,13.1,12.5,0.306,14.2,17.4,0.134,0.47,17.3,78.1,0.106
ATL,2024,6,6,1,NYL,2,61,78,79.6,101.8,76.6,0.266,0.328,0.427,43.6,68.2,10.4,9.3,0.367,14.4,17.5,0.219,0.453,14.0,71.1,0.149
ATL,2024,6,8,1,CHI,1,89,80,113.5,102.0,78.4,0.338,0.235,0.57,51.7,71.0,17.9,8.2,0.5,14.3,33.3,0.309,0.508,22.4,74.1,0.317
ATL,2024,6,11,1,WAS,2,68,87,92.3,118.1,73.7,0.269,0.343,0.454,45.7,66.7,4.1,5.9,0.418,9.6,19.5,0.179,0.608,13.6,82.8,0.123
ATL,2024,6,13,1,IND,2,84,91,109.5,118.6,76.7,0.343,0.358,0.545,47.7,71.4,7.8,6.5,0.485,12.5,30.3,0.284,0.507,14.8,65.6,0.25
