team,g_num,year,month,day,home_away,opp,win_loss,team_score,opp_score,team_fg,team_fga,team_fg_pct,team_3p,team_3pa,team_3p_pct,team_ft,team_fta,team_ft_pct,team_orb,team_trb,team_ast,team_stl,team_blk,team_tov,team_pf,opponent_fg,opponent_fga,opponent_fg_pct,opponent_3p,opponent_3pa,opponent_3p_pct,opponent_ft,opponent_fta,opponent_ft_pct,opponent_orb,opponent_trb,opponent_ast,opponent_stl,opponent_blk,opponent_tov,opponent_pf
ATL,1,2024,5,15,2,LAS,1,92,81,34,67,0.507,8,17,0.471,16,19,0.842,7,34,20,8,9,13,20,28,72,0.389,12,31,0.387,13,22,0.591,8,35,24,8,2,11,17
ATL,2,2024,5,18,2,PHO,2,85,88,27,66,0.409,10,23,0.435,21,27,0.778,7,33,21,8,5,13,21,27,66,0.409,6,23,0.261,28,32,0.875,7,38,17,10,5,12,22
ATL,3,2024,5,21,1,DAL,1,83,78,30,72,0.417,7,22,0.318,16,22,0.727,13,36,17,9,3,12,20,30,70,0.429,2,16,0.125,16,20,0.8,11,35,17,6,6,14,20
ATL,4,2024,5,26,1,MIN,2,79,92,31,68,0.456,6,22,0.273,11,14,0.786,10,32,23,9,1,10,15,31,62,0.5,13,29,0.448,17,23,0.739,5,31,23,7,4,10,17
ATL,5,2024,5,29,2,WAS,1,73,67,26,62,0.419,6,21,0.286,15,21,0.714,5,36,19,9,2,17,19,27,74,0.365,6,27,0.222,7,7,1.0,9,31,21,6,3,13,17
ATL,6,2024,5,31,1,LVA,1,78,74,22,61,0.361,8,16,0.5,26,29,0.897,3,38,17,5,4,11,17,25,69,0.362,6,21,0.286,18,20,0.9,3,34,18,6,5,11,25
ATL,7,2024,6,2,1,CON,2,50,69,19,67,0.284,3,16,0.188,9,12,0.75,8,33,10,10,6,12,16,28,66,0.424,6,18,0.333,7,13,0.538,7,45,22,4,3,15,17
ATL,8,2024,6,6,1,NYL,2,61,78,22,64,0.344,3,21,0.143,14,17,0.824,7,34,15,8,4,12,16,29,74,0.392,9,31,0.29,11,13,0.846,11,44,24,6,4,13,15
ATL,9,2024,6,8,2,CHI,1,89,80,31,68,0.456,6,16,0.375,21,23,0.913,11,31,22,14,4,13,20,29,60,0.483,3,11,0.273,19,21,0.905,7,29,17,8,2,20,21
ATL,10,2024,6,11,1,WAS,2,68,87,24,67,0.358,8,23,0.348,12,18,0.667,8,32,16,3,2,8,15,31,65,0.477,17,31,0.548,8,11,0.727,5,38,25,3,3,11,17
ATL,11,2024,6,13,2,IND,2,84,91,28,67,0.418,9,24,0.375,19,23,0.826,10,31,20,6,3,11,19,32,72,0.444,9,26,0.346,18,19,0.947,11,34,18,6,6,14,16
ATL,12,2024,6,16,1,LAS,1,87,74,30,68,0.441,6,15,0.4,21,26,0.808,10,38,22,8,1,10,19,24,68,0.353,8,25,0.32,18,18,1.0,8,33,18,6,2,12,20
ATL,13,2024,6,19,2,MIN,2,55,68,19,66,0.288,4,23,0.174,13,20,0.65,12,46,16,4,9,13,12,27,76,0.355,7,22,0.318,7,8,0.875,10,45,19,5,4,9,17
ATL,14,2024,6,21,1,IND,2,79,91,22,65,0.338,4,18,0.222,31,35,0.886,7,30,18,8,2,11,16,37,65,0.569,11,21,0.524,6,11,0.545,5,35,24,5,7,14,22
ATL,15,2024,6,23,1,NYL,2,75,96,30,79,0.38,2,12,0.167,13,19,0.684,14,40,21,5,4,10,14,36,70,0.514,10,25,0.4,14,15,0.933,7,38,25,7,4,12,17
ATL,16,2024,6,28,2,CON,1,78,74,28,57,0.491,6,14,0.429,16,22,0.727,5,32,18,12,6,15,22,23,59,0.39,7,21,0.333,21,26,0.808,6,26,20,10,2,18,17
ATL,17,2024,6,30,2,NYL,2,75,81,29,60,0.483,6,17,0.353,11,13,0.846,4,37,16,2,2,15,15,28,71,0.394,13,39,0.333,12,16,0.75,5,28,25,8,2,5,14
ATL,18,2024,7,2,1,CHI,2,77,85,30,68,0.441,7,22,0.318,10,16,0.625,11,37,27,6,2,18,17,33,70,0.471,6,14,0.429,13,18,0.722,10,34,20,6,4,10,17
ATL,19,2024,7,5,2,DAL,2,82,85,34,61,0.557,2,6,0.333,12,19,0.632,6,30,23,8,6,28,21,31,69,0.449,7,21,0.333,16,22,0.727,7,27,21,16,5,18,16
ATL,20,2024,7,7,2,CON,2,67,80,24,59,0.407,4,10,0.4,15,19,0.789,9,31,16,4,4,10,18,28,64,0.438,10,23,0.435,14,19,0.737,11,36,20,4,3,7,14
