team,g_num,year,month,day,home_away,opp,win_loss,team_score,opp_score,team_fg,team_fga,team_fg_pct,team_3p,team_3pa,team_3p_pct,team_ft,team_fta,team_ft_pct,team_orb,team_trb,team_ast,team_stl,team_blk,team_tov,team_pf,opponent_fg,opponent_fga,opponent_fg_pct,opponent_3p,opponent_3pa,opponent_3p_pct,opponent_ft,opponent_fta,opponent_ft_pct,opponent_orb,opponent_trb,opponent_ast,opponent_stl,opponent_blk,opponent_tov,opponent_pf,advanced_ortg,advanced_drtg,advanced_pace,advanced_ftr,advanced_3par,advanced_ts_pct,advanced_trb_pct,advanced_ast_pct,advanced_stl_pct,advanced_blk_pct,offensive_four_factors_efg_pct,offensive_four_factors_tov_pct,offensive_four_factors_orb_pct,offensive_four_factors_ft_per_fga,defensive_four_factors_efg_pct,defensive_four_factors_tov_pct,defensive_four_factors_drb_pct,defensive_four_factors_ft_per_fga
ATL,1,2024,5,15,2,LAS,1,92,81,34,67,0.507,8,17,0.471,16,19,0.842,7,34,20,8,9,13,20,28,72,0.389,12,31,0.387,13,22,0.591,8,35,24,8,2,11,17,114.0,100.4,80.7,0.284,0.254,0.61,49.3,58.8,9.9,22.0,0.567,14.7,20.6,0.239,0.472,11.9,77.1,0.181
ATL,2,2024,5,18,2,PHO,2,85,88,27,66,0.409,10,23,0.435,21,27,0.778,7,33,21,8,5,13,21,27,66,0.409,6,23,0.261,28,32,0.875,7,38,17,10,5,12,22,103.6,107.3,82.0,0.409,0.348,0.546,46.5,77.8,9.8,11.6,0.485,14.3,18.4,0.318,0.455,13.0,78.8,0.424
ATL,3,2024,5,21,1,DAL,1,83,78,30,72,0.417,7,22,0.318,16,22,0.727,13,36,17,9,3,12,20,30,70,0.429,2,16,0.125,16,20,0.8,11,35,17,6,6,14,20,107.0,100.5,77.6,0.306,0.306,0.508,50.7,56.7,11.6,5.6,0.465,12.8,35.1,0.222,0.443,15.1,67.6,0.229
ATL,4,2024,5,26,1,MIN,2,79,92,31,68,0.456,6,22,0.273,11,14,0.786,10,32,23,9,1,10,15,31,62,0.5,13,29,0.448,17,23,0.739,5,31,23,7,4,10,17,107.0,124.6,73.8,0.206,0.324,0.533,50.8,74.2,12.2,3.0,0.5,11.9,27.8,0.162,0.605,12.2,81.5,0.274
ATL,5,2024,5,29,2,WAS,1,73,67,26,62,0.419,6,21,0.286,15,21,0.714,5,36,19,9,2,17,19,27,74,0.365,6,27,0.222,7,7,1.0,9,31,21,6,3,13,17,92.0,84.4,79.4,0.339,0.339,0.512,53.7,73.1,11.3,4.3,0.468,19.3,18.5,0.242,0.405,14.4,77.5,0.095
ATL,6,2024,5,31,1,LVA,1,78,74,22,61,0.361,8,16,0.5,26,29,0.897,3,38,17,5,4,11,17,25,69,0.362,6,21,0.286,18,20,0.9,3,34,18,6,5,11,25,95.0,90.1,82.1,0.475,0.262,0.529,52.8,77.3,6.1,8.3,0.426,13.0,8.8,0.426,0.406,12.4,92.1,0.261
ATL,7,2024,6,2,1,CON,2,50,69,19,67,0.284,3,16,0.188,9,12,0.75,8,33,10,10,6,12,16,28,66,0.424,6,18,0.333,7,13,0.538,7,45,22,4,3,15,17,65.7,90.7,76.1,0.179,0.239,0.346,42.3,52.6,13.1,12.5,0.306,14.2,17.4,0.134,0.47,17.3,78.1,0.106
ATL,8,2024,6,6,1,NYL,2,61,78,22,64,0.344,3,21,0.143,14,17,0.824,7,34,15,8,4,12,16,29,74,0.392,9,31,0.29,11,13,0.846,11,44,24,6,4,13,15,79.6,101.8,76.6,0.266,0.328,0.427,43.6,68.2,10.4,9.3,0.367,14.4,17.5,0.219,0.453,14.0,71.1,0.149
ATL,9,2024,6,8,2,CHI,1,89,80,31,68,0.456,6,16,0.375,21,23,0.913,11,31,22,14,4,13,20,29,60,0.483,3,11,0.273,19,21,0.905,7,29,17,8,2,20,21,113.5,102.0,78.4,0.338,0.235,0.57,51.7,71.0,17.9,8.2,0.5,14.3,33.3,0.309,0.508,22.4,74.1,0.317
ATL,10,2024,6,11,1,WAS,2,68,87,24,67,0.358,8,23,0.348,12,18,0.667,8,32,16,3,2,8,15,31,65,0.477,17,31,0.548,8,11,0.727,5,38,25,3,3,11,17,92.3,118.1,73.7,0.269,0.343,0.454,45.7,66.7,4.1,5.9,0.418,9.6,19.5,0.179,0.608,13.6,82.8,0.123
