player,year,month,day,age,tm,home_away,opp,win_margin,gs,mp,fg,fga,fg_pct,3p,3pa,3p_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc
Lindsay Allen,2024,5,15,29.2,CHI,2,DAL,-8.0,0,13.5,2,5,0.4,0,0,0.0,1,2,0.5,0,1,1,0,1,0,0,0,5,3.2
Lindsay Allen,2024,5,18,29.2,CHI,2,DAL,9.0,0,9.1,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,0,2,1.7
Lindsay Allen,2024,5,23,29.2,CHI,2,NYL,9.0,0,18.7,4,7,0.571,0,1,0.0,0,0,0.0,0,1,1,2,0,0,1,3,8,4.2
Lindsay Allen,2024,5,25,29.2,CHI,1,CON,-4.0,0,15.6,3,3,1.0,0,0,0.0,0,0,0.0,1,1,2,2,2,0,2,1,6,7.1
Lindsay Allen,2024,5,28,29.2,CHI,1,SEA,-9.0,0,23.1,0,3,0.0,0,1,0.0,3,4,0.75,0,2,2,4,0,0,3,2,3,0.1
Lindsay Allen,2024,5,30,29.2,CHI,1,LAS,10.0,0,10.8,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,3,0,0,3,2,2,0.3
Lindsay Allen,2024,6,1,29.2,CHI,2,IND,-1.0,0,9.3,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,1,0,0,-1.7
Lindsay Allen,2024,6,4,29.2,CHI,1,NYL,-13.0,0,14.2,1,1,1.0,0,0,0.0,4,4,1.0,0,1,1,3,0,0,0,3,6,6.9
Lindsay Allen,2024,6,6,29.2,CHI,2,WAS,8.0,0,26.6,0,6,0.0,0,1,0.0,4,6,0.667,1,2,3,3,4,0,0,3,4,5.2
Lindsay Allen,2024,6,8,29.2,CHI,1,ATL,-9.0,0,17.2,3,4,0.75,1,2,0.5,1,1,1.0,0,1,1,2,0,0,3,1,8,4.7
Lindsay Allen,2024,6,12,29.2,CHI,1,CON,-8.0,0,17.0,1,3,0.333,0,0,0.0,0,0,0.0,0,0,0,3,0,0,2,2,2,-0.4
Lindsay Allen,2024,6,14,29.2,CHI,2,WAS,-2.0,0,19.2,4,8,0.5,0,4,0.0,2,2,1.0,0,1,1,3,1,0,4,0,10,5.4
Lindsay Allen,2024,6,16,29.2,CHI,2,IND,-8.0,1,26.9,1,4,0.25,0,0,0.0,0,0,0.0,0,2,2,2,2,0,0,1,2,3.2
Lindsay Allen,2024,6,20,29.3,CHI,1,DAL,11.0,1,14.2,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,4,0,1,1,0,2,3.5
Lindsay Allen,2024,6,23,29.3,CHI,1,IND,1.0,1,26.9,2,5,0.4,0,0,0.0,0,1,0.0,0,1,1,7,0,0,0,1,4,5.7
Lindsay Allen,2024,6,27,29.3,CHI,1,LVA,-12.0,1,34.4,5,7,0.714,0,1,0.0,0,0,0.0,0,4,4,5,1,1,0,0,10,13.5
Lindsay Allen,2024,6,30,29.3,CHI,1,MIN,-8.0,1,32.7,5,10,0.5,3,5,0.6,0,0,0.0,3,3,6,7,1,2,1,4,13,15.7
Lindsay Allen,2024,7,2,29.3,CHI,2,ATL,8.0,1,26.2,2,5,0.4,1,1,1.0,1,2,0.5,0,0,0,3,2,1,2,1,6,5.3
Lindsay Allen,2024,7,5,29.3,CHI,2,SEA,4.0,1,31.2,2,4,0.5,0,1,0.0,1,2,0.5,0,2,2,1,3,0,0,4,5,5.3
Lindsay Allen,2024,7,7,29.3,CHI,2,SEA,-13.0,1,25.6,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,6,0,0,0,3,2,4.0
Lindsay Allen,2024,7,10,29.3,CHI,1,ATL,9.0,1,22.7,2,3,0.667,1,1,1.0,0,0,0.0,0,1,1,3,0,0,1,0,5,5.1
Lindsay Allen,2024,7,11,29.3,CHI,2,NYL,-15.0,1,32.9,2,6,0.333,0,2,0.0,1,1,1.0,1,1,2,7,1,0,2,5,5,4.5
Lindsay Allen,2024,7,13,29.3,CHI,1,NYL,-14.0,1,32.2,4,7,0.571,0,1,0.0,0,0,0.0,1,1,2,4,2,0,2,2,8,7.7
Lindsay Allen,2024,7,16,29.3,CHI,2,LVA,8.0,1,26.9,3,8,0.375,0,2,0.0,0,0,0.0,0,5,5,4,1,0,1,0,6,5.9
Lindsay Allen,2024,8,15,29.4,CHI,1,PHO,-20.0,1,16.4,2,4,0.5,1,1,1.0,0,0,0.0,1,1,2,6,0,0,0,2,5,7.4
Lindsay Allen,2024,8,17,29.4,CHI,2,LAS,4.0,1,26.3,7,11,0.636,0,1,0.0,2,3,0.667,2,2,4,6,1,0,4,4,16,12.3
Lindsay Allen,2024,8,18,29.4,CHI,2,PHO,-18.0,1,22.3,1,6,0.167,0,1,0.0,0,0,0.0,0,1,1,2,1,0,1,0,2,-0.1
Lindsay Allen,2024,8,23,29.4,CHI,2,CON,-2.0,1,30.4,5,9,0.556,0,1,0.0,4,4,1.0,0,1,1,6,3,0,5,2,14,11.4
Lindsay Allen,2024,8,25,29.4,CHI,1,LVA,-2.0,1,34.0,7,12,0.583,1,3,0.333,1,2,0.5,0,3,3,5,0,0,3,3,16,10.2
Lindsay Allen,2024,8,28,29.4,CHI,1,WAS,-4.0,1,26.2,3,8,0.375,0,1,0.0,2,2,1.0,0,1,1,4,0,0,2,0,8,4.7
Lindsay Allen,2024,8,30,29.4,CHI,1,IND,-19.0,1,25.1,6,9,0.667,3,3,1.0,4,4,1.0,2,2,4,6,1,0,3,0,19,19.3
Lindsay Allen,2024,9,1,29.5,CHI,2,MIN,-5.0,1,32.5,3,7,0.429,0,1,0.0,0,0,0.0,0,2,2,6,0,0,3,3,6,2.9
Lindsay Allen,2024,9,3,29.5,CHI,2,LVA,-19.0,1,18.6,0,3,0.0,0,1,0.0,0,0,0.0,0,2,2,3,0,0,2,1,0,-1.8
Lindsay Allen,2024,9,6,29.5,CHI,1,LAS,14.0,1,31.6,3,7,0.429,2,2,1.0,0,0,0.0,0,1,1,6,1,0,1,2,8,8.0
Lindsay Allen,2024,9,8,29.5,CHI,1,DAL,15.0,1,21.1,2,3,0.667,0,0,0.0,0,0,0.0,0,2,2,1,1,0,2,1,4,2.6
Lindsay Allen,2024,9,11,29.5,CHI,1,WAS,-31.0,1,28.9,3,7,0.429,0,2,0.0,0,0,0.0,0,4,4,5,3,1,1,2,6,8.9
Lindsay Allen,2024,9,13,29.5,CHI,2,MIN,-17.0,1,27.9,4,7,0.571,1,2,0.5,1,2,0.5,0,4,4,5,0,0,3,1,10,7.6
Lindsay Allen,2024,9,15,29.5,CHI,1,PHO,-5.0,1,26.1,3,5,0.6,0,1,0.0,0,0,0.0,0,6,6,7,0,0,0,2,6,9.6
Lindsay Allen,2024,9,17,29.5,CHI,2,ATL,-16.0,1,30.4,4,12,0.333,0,1,0.0,8,8,1.0,1,3,4,4,0,0,3,2,16,9.8
