team,year,opp,team_score,opp_score,day,month,corner_3_specialist,midrange_sniper,self_creator,team_per_poss_fg,team_per_poss_3p_pct,team_per_poss_2pa,team_per_poss_ft,team_per_poss_orb,team_per_poss_ast,team_per_poss_tov,team_per_poss_pf,team_per_poss_pts,opp_per_poss_stl,opp_per_poss_tov,team_dist,team_pct_of_fg_ast'd_3p,team_sos,team_srs,team_pace,team_ts_pct,team_orb_pct
ATL,2020,DAL,105,95,26.0,7.0,0.0,0.0,1.0,38.8,0.35,67.0,15.1,11.2,20.9,17.8,22.9,100.1,10.2,15.9,13.1,0.815,0.56,-6.13,80.0,0.518,25.3
ATL,2020,LVA,70,100,29.0,7.0,0.0,0.0,1.0,38.8,0.35,67.0,15.1,11.2,20.9,17.8,22.9,100.1,10.2,15.9,13.1,0.815,0.56,-6.13,80.0,0.518,25.3
ATL,2020,NYL,84,78,31.0,7.0,0.0,0.0,1.0,38.8,0.35,67.0,15.1,11.2,20.9,17.8,22.9,100.1,10.2,15.9,13.1,0.815,0.56,-6.13,80.0,0.518,25.3
ATL,2020,IND,77,93,2.0,8.0,0.0,0.0,1.0,38.8,0.35,67.0,15.1,11.2,20.9,17.8,22.9,100.1,10.2,15.9,13.1,0.815,0.56,-6.13,80.0,0.518,25.3
ATL,2020,PHO,74,81,4.0,8.0,0.0,0.0,1.0,38.8,0.35,67.0,15.1,11.2,20.9,17.8,22.9,100.1,10.2,15.9,13.1,0.815,0.56,-6.13,80.0,0.518,25.3
ATL,2020,SEA,92,93,6.0,8.0,0.0,0.0,1.0,38.8,0.35,67.0,15.1,11.2,20.9,17.8,22.9,100.1,10.2,15.9,13.1,0.815,0.56,-6.13,80.0,0.518,25.3
ATL,2020,DAL,75,85,8.0,8.0,0.0,0.0,1.0,38.8,0.35,67.0,15.1,11.2,20.9,17.8,22.9,100.1,10.2,15.9,13.1,0.815,0.56,-6.13,80.0,0.518,25.3
ATL,2020,CON,82,93,10.0,8.0,0.0,0.0,1.0,38.8,0.35,67.0,15.1,11.2,20.9,17.8,22.9,100.1,10.2,15.9,13.1,0.815,0.56,-6.13,80.0,0.518,25.3
ATL,2020,SEA,63,100,12.0,8.0,0.0,0.0,0.0,38.8,0.35,67.0,15.1,11.2,20.9,17.8,22.9,100.1,10.2,15.9,13.1,0.815,0.56,-6.13,80.0,0.518,25.3
ATL,2020,PHO,80,96,14.0,8.0,0.0,0.0,0.0,38.8,0.35,67.0,15.1,11.2,20.9,17.8,22.9,100.1,10.2,15.9,13.1,0.815,0.56,-6.13,80.0,0.518,25.3
ATL,2020,CHI,67,92,16.0,8.0,0.0,0.0,0.0,38.8,0.35,67.0,15.1,11.2,20.9,17.8,22.9,100.1,10.2,15.9,13.1,0.815,0.56,-6.13,80.0,0.518,25.3
ATL,2020,WAS,91,98,19.0,8.0,0.0,0.0,0.0,38.8,0.35,67.0,15.1,11.2,20.9,17.8,22.9,100.1,10.2,15.9,13.1,0.815,0.56,-6.13,80.0,0.518,25.3
ATL,2020,LAS,85,93,21.0,8.0,0.0,0.0,0.0,38.8,0.35,67.0,15.1,11.2,20.9,17.8,22.9,100.1,10.2,15.9,13.1,0.815,0.56,-6.13,80.0,0.518,25.3
ATL,2020,MIN,78,75,23.0,8.0,0.0,0.0,0.0,38.8,0.35,67.0,15.1,11.2,20.9,17.8,22.9,100.1,10.2,15.9,13.1,0.815,0.56,-6.13,80.0,0.518,25.3
ATL,2020,MIN,79,88,28.0,8.0,0.0,0.0,1.0,38.8,0.35,67.0,15.1,11.2,20.9,17.8,22.9,100.1,10.2,15.9,13.1,0.815,0.56,-6.13,80.0,0.518,25.3
ATL,2020,LAS,79,84,30.0,8.0,0.0,0.0,1.0,38.8,0.35,67.0,15.1,11.2,20.9,17.8,22.9,100.1,10.2,15.9,13.1,0.815,0.56,-6.13,80.0,0.518,25.3
ATL,2020,IND,102,90,1.0,9.0,0.0,0.0,1.0,38.8,0.35,67.0,15.1,11.2,20.9,17.8,22.9,100.1,10.2,15.9,13.1,0.815,0.56,-6.13,80.0,0.518,25.3
ATL,2020,NYL,62,56,3.0,9.0,0.0,0.0,1.0,38.8,0.35,67.0,15.1,11.2,20.9,17.8,22.9,100.1,10.2,15.9,13.1,0.815,0.56,-6.13,80.0,0.518,25.3
ATL,2020,LVA,79,89,5.0,9.0,0.0,0.0,1.0,38.8,0.35,67.0,15.1,11.2,20.9,17.8,22.9,100.1,10.2,15.9,13.1,0.815,0.56,-6.13,80.0,0.518,25.3
ATL,2020,CHI,97,89,9.0,9.0,0.0,0.0,1.0,38.8,0.35,67.0,15.1,11.2,20.9,17.8,22.9,100.1,10.2,15.9,13.1,0.815,0.56,-6.13,80.0,0.518,25.3
ATL,2020,CON,82,75,11.0,9.0,0.0,0.0,1.0,38.8,0.35,67.0,15.1,11.2,20.9,17.8,22.9,100.1,10.2,15.9,13.1,0.815,0.56,-6.13,80.0,0.518,25.3
ATL,2020,WAS,78,85,13.0,9.0,0.0,0.0,1.0,38.8,0.35,67.0,15.1,11.2,20.9,17.8,22.9,100.1,10.2,15.9,13.1,0.815,0.56,-6.13,80.0,0.518,25.3
CHI,2020,LVA,88,86,26.0,7.0,0.0,0.0,0.0,41.6,0.351,57.7,15.1,9.1,27.1,18.5,22.3,107.6,11.3,17.0,13.6,0.898,-0.22,2.42,80.7,0.58,23.3
CHI,2020,LAS,96,78,28.0,7.0,0.0,0.0,0.0,41.6,0.351,57.7,15.1,9.1,27.1,18.5,22.3,107.6,11.3,17.0,13.6,0.898,-0.22,2.42,80.7,0.58,23.3
CHI,2020,MIN,81,83,30.0,7.0,0.0,0.0,0.0,41.6,0.351,57.7,15.1,9.1,27.1,18.5,22.3,107.6,11.3,17.0,13.6,0.898,-0.22,2.42,80.7,0.58,23.3
CHI,2020,WAS,88,86,1.0,8.0,0.0,0.0,0.0,41.6,0.351,57.7,15.1,9.1,27.1,18.5,22.3,107.6,11.3,17.0,13.6,0.898,-0.22,2.42,80.7,0.58,23.3
CHI,2020,DAL,82,79,4.0,8.0,0.0,0.0,0.0,41.6,0.351,57.7,15.1,9.1,27.1,18.5,22.3,107.6,11.3,17.0,13.6,0.898,-0.22,2.42,80.7,0.58,23.3
CHI,2020,PHO,86,96,6.0,8.0,0.0,0.0,0.0,41.6,0.351,57.7,15.1,9.1,27.1,18.5,22.3,107.6,11.3,17.0,13.6,0.898,-0.22,2.42,80.7,0.58,23.3
CHI,2020,CON,100,93,8.0,8.0,0.0,0.0,0.0,41.6,0.351,57.7,15.1,9.1,27.1,18.5,22.3,107.6,11.3,17.0,13.6,0.898,-0.22,2.42,80.7,0.58,23.3
CHI,2020,SEA,71,89,10.0,8.0,0.0,0.0,0.0,41.6,0.351,57.7,15.1,9.1,27.1,18.5,22.3,107.6,11.3,17.0,13.6,0.898,-0.22,2.42,80.7,0.58,23.3
CHI,2020,PHO,89,71,12.0,8.0,0.0,0.0,0.0,41.6,0.351,57.7,15.1,9.1,27.1,18.5,22.3,107.6,11.3,17.0,13.6,0.898,-0.22,2.42,80.7,0.58,23.3
CHI,2020,CON,74,77,14.0,8.0,0.0,0.0,0.0,41.6,0.351,57.7,15.1,9.1,27.1,18.5,22.3,107.6,11.3,17.0,13.6,0.898,-0.22,2.42,80.7,0.58,23.3
CHI,2020,ATL,92,67,16.0,8.0,0.0,0.0,0.0,41.6,0.351,57.7,15.1,9.1,27.1,18.5,22.3,107.6,11.3,17.0,13.6,0.898,-0.22,2.42,80.7,0.58,23.3
CHI,2020,LVA,84,82,18.0,8.0,0.0,0.0,0.0,41.6,0.351,57.7,15.1,9.1,27.1,18.5,22.3,107.6,11.3,17.0,13.6,0.898,-0.22,2.42,80.7,0.58,23.3
CHI,2020,NYL,101,85,20.0,8.0,0.0,0.0,0.0,41.6,0.351,57.7,15.1,9.1,27.1,18.5,22.3,107.6,11.3,17.0,13.6,0.898,-0.22,2.42,80.7,0.58,23.3
CHI,2020,IND,87,76,22.0,8.0,0.0,0.0,0.0,41.6,0.351,57.7,15.1,9.1,27.1,18.5,22.3,107.6,11.3,17.0,13.6,0.898,-0.22,2.42,80.7,0.58,23.3
CHI,2020,NYL,99,101,25.0,8.0,0.0,0.0,0.0,41.6,0.351,57.7,15.1,9.1,27.1,18.5,22.3,107.6,11.3,17.0,13.6,0.898,-0.22,2.42,80.7,0.58,23.3
CHI,2020,SEA,74,88,29.0,8.0,0.0,0.0,0.0,41.6,0.351,57.7,15.1,9.1,27.1,18.5,22.3,107.6,11.3,17.0,13.6,0.898,-0.22,2.42,80.7,0.58,23.3
CHI,2020,IND,100,77,31.0,8.0,0.0,0.0,0.0,41.6,0.351,57.7,15.1,9.1,27.1,18.5,22.3,107.6,11.3,17.0,13.6,0.898,-0.22,2.42,80.7,0.58,23.3
CHI,2020,MIN,83,86,2.0,9.0,0.0,0.0,0.0,41.6,0.351,57.7,15.1,9.1,27.1,18.5,22.3,107.6,11.3,17.0,13.6,0.898,-0.22,2.42,80.7,0.58,23.3
CHI,2020,WAS,69,79,4.0,9.0,0.0,0.0,0.0,41.6,0.351,57.7,15.1,9.1,27.1,18.5,22.3,107.6,11.3,17.0,13.6,0.898,-0.22,2.42,80.7,0.58,23.3
CHI,2020,LAS,80,86,6.0,9.0,0.0,0.0,0.0,41.6,0.351,57.7,15.1,9.1,27.1,18.5,22.3,107.6,11.3,17.0,13.6,0.898,-0.22,2.42,80.7,0.58,23.3
CHI,2020,ATL,89,97,9.0,9.0,0.0,0.0,0.0,41.6,0.351,57.7,15.1,9.1,27.1,18.5,22.3,107.6,11.3,17.0,13.6,0.898,-0.22,2.42,80.7,0.58,23.3
CHI,2020,DAL,95,88,11.0,9.0,0.0,0.0,0.0,41.6,0.351,57.7,15.1,9.1,27.1,18.5,22.3,107.6,11.3,17.0,13.6,0.898,-0.22,2.42,80.7,0.58,23.3
CON,2020,MIN,69,77,26.0,7.0,0.0,0.0,0.0,37.5,0.311,63.9,19.1,12.7,23.2,16.8,23.7,101.7,9.5,18.9,12.7,0.838,-0.04,0.42,78.6,0.513,27.8
CON,2020,WAS,89,94,28.0,7.0,0.0,0.0,0.0,37.5,0.311,63.9,19.1,12.7,23.2,16.8,23.7,101.7,9.5,18.9,12.7,0.838,-0.04,0.42,78.6,0.513,27.8
CON,2020,LAS,76,81,30.0,7.0,0.0,0.0,0.0,37.5,0.311,63.9,19.1,12.7,23.2,16.8,23.7,101.7,9.5,18.9,12.7,0.838,-0.04,0.42,78.6,0.513,27.8
CON,2020,MIN,69,78,1.0,8.0,0.0,0.0,0.0,37.5,0.311,63.9,19.1,12.7,23.2,16.8,23.7,101.7,9.5,18.9,12.7,0.838,-0.04,0.42,78.6,0.513,27.8
CON,2020,SEA,74,87,4.0,8.0,0.0,0.0,0.0,37.5,0.311,63.9,19.1,12.7,23.2,16.8,23.7,101.7,9.5,18.9,12.7,0.838,-0.04,0.42,78.6,0.513,27.8
CON,2020,DAL,91,68,6.0,8.0,0.0,0.0,0.0,37.5,0.311,63.9,19.1,12.7,23.2,16.8,23.7,101.7,9.5,18.9,12.7,0.838,-0.04,0.42,78.6,0.513,27.8
CON,2020,CHI,93,100,8.0,8.0,0.0,0.0,0.0,37.5,0.311,63.9,19.1,12.7,23.2,16.8,23.7,101.7,9.5,18.9,12.7,0.838,-0.04,0.42,78.6,0.513,27.8
CON,2020,ATL,93,82,10.0,8.0,0.0,0.0,0.0,37.5,0.311,63.9,19.1,12.7,23.2,16.8,23.7,101.7,9.5,18.9,12.7,0.838,-0.04,0.42,78.6,0.513,27.8
CON,2020,DAL,70,66,12.0,8.0,0.0,0.0,0.0,37.5,0.311,63.9,19.1,12.7,23.2,16.8,23.7,101.7,9.5,18.9,12.7,0.838,-0.04,0.42,78.6,0.513,27.8
CON,2020,CHI,77,74,14.0,8.0,0.0,0.0,0.0,37.5,0.311,63.9,19.1,12.7,23.2,16.8,23.7,101.7,9.5,18.9,12.7,0.838,-0.04,0.42,78.6,0.513,27.8
