player,year,tm,age,g,gs,per_game_mp,per_game_fg,per_game_fga,per_game_fg_pct,per_game_3p,per_game_3pa,per_game_3p_pct,per_game_2p,per_game_2pa,per_game_2p_pct,per_game_efg_pct,per_game_ft,per_game_fta,per_game_ft_pct,per_game_orb,per_game_drb,per_game_trb,per_game_ast,per_game_stl,per_game_blk,per_game_tov,per_game_pf,per_game_pts,mp,per_minute_fg,per_minute_fga,per_minute_fg_pct,per_minute_3p,per_minute_3pa,per_minute_3p_pct,per_minute_2p,per_minute_2pa,per_minute_2p_pct,per_minute_ft,per_minute_fta,per_minute_ft_pct,per_minute_orb,per_minute_drb,per_minute_trb,per_minute_ast,per_minute_stl,per_minute_blk,per_minute_tov,per_minute_pf,per_minute_pts,per_poss_fg,per_poss_fga,per_poss_fg_pct,per_poss_3p,per_poss_3pa,per_poss_3p_pct,per_poss_2p,per_poss_2pa,per_poss_2p_pct,per_poss_ft,per_poss_fta,per_poss_ft_pct,per_poss_orb,per_poss_drb,per_poss_trb,per_poss_ast,per_poss_stl,per_poss_blk,per_poss_tov,per_poss_pf,per_poss_pts,per_poss_ortg,per_poss_drtg,advanced_per,advanced_ts_pct,advanced_3par,advanced_ftr,advanced_orb_pct,advanced_drb_pct,advanced_trb_pct,advanced_ast_pct,advanced_stl_pct,advanced_blk_pct,advanced_tov_pct,advanced_usg_pct,advanced_ows,advanced_dws,advanced_ws,advanced_ws_per_48,shooting_fg_pct,shooting_dist,shooting_pct_of_fga_by_distance_2p,shooting_pct_of_fga_by_distance_0-3,shooting_pct_of_fga_by_distance_3-10,shooting_pct_of_fga_by_distance_10-16,shooting_pct_of_fga_by_distance_16-3p,shooting_pct_of_fga_by_distance_3p,shooting_fg_pct_by_distance_2p,shooting_fg_pct_by_distance_0-3,shooting_fg_pct_by_distance_3-10,shooting_fg_pct_by_distance_10-16,shooting_fg_pct_by_distance_16-3p,shooting_fg_pct_by_distance_3p,shooting_pct_of_fg_astd_2p,shooting_pct_of_fg_astd_3p,shooting_dunks_pctfga,shooting_dunks_num,shooting_corner_3s_pct3pa,shooting_corner_3s_3p_pct,shooting_heaves_att,shooting_heaves_num,pbp_plus_minus_per_100_poss_oncourt,pbp_plus_minus_per_100_poss_on_off,pbp_turnovers_badpass,pbp_turnovers_lostball,pbp_fouls_committed_shoot,pbp_fouls_committed_off,pbp_fouls_drawn_shoot,pbp_fouls_drawn_off,pbp_misc_pga,pbp_misc_and1,pbp_misc_blkd
Diana Taurasi,2004,PHO,22.0,34.0,34.0,33.2,6.1,14.8,0.416,1.8,5.5,0.33,4.3,9.3,0.467,0.477,2.9,3.8,0.76,0.8,3.6,4.4,3.9,1.3,0.7,2.6,3.4,17.0,1130.0,6.7,16.0,0.416,2.0,6.0,0.33,4.7,10.0,0.467,3.1,4.1,0.76,0.9,3.9,4.7,4.2,1.4,0.8,2.9,3.7,18.4,10.9,26.3,0.416,3.2,9.8,0.33,7.7,16.5,0.467,5.1,6.8,0.76,1.5,6.3,7.8,6.9,2.3,1.3,4.7,6.1,30.3,102.0,97.0,21.8,0.516,0.374,0.256,3.5,15.2,9.3,27.8,2.3,2.0,13.9,29.6,3.3,1.4,4.7,0.2,0.416,14.0,0.626,0.183,0.129,0.209,0.105,0.374,0.467,0.652,0.508,0.333,0.358,0.33,0.463,0.758,0.0,0.0,0.064,0.333,1.0,0.0,3.8,1.6,46.0,13.0,38.0,27.0,0.0,0.0,317.0,18.0,18.0
Diana Taurasi,2005,PHO,23.0,33.0,33.0,33.0,5.3,12.9,0.41,1.7,5.4,0.313,3.6,7.5,0.48,0.475,3.7,4.6,0.801,0.7,3.5,4.2,4.5,1.2,0.8,3.4,3.4,16.0,1089.0,5.8,14.1,0.41,1.9,5.9,0.313,3.9,8.2,0.48,4.0,5.0,0.801,0.7,3.8,4.6,5.0,1.3,0.9,3.7,3.7,17.4,9.2,22.4,0.41,2.9,9.4,0.313,6.2,13.0,0.48,6.3,7.9,0.801,1.2,6.1,7.2,7.9,2.0,1.5,5.9,5.8,27.6,102.0,99.0,19.8,0.534,0.419,0.354,2.6,13.9,8.3,30.8,2.0,2.1,18.5,26.9,2.9,1.0,3.9,0.173,0.41,15.4,0.581,0.141,0.101,0.213,0.126,0.419,0.48,0.617,0.442,0.418,0.463,0.313,0.555,0.857,0.0,0.0,0.067,0.333,0.0,0.0,1.4,4.8,61.0,20.0,42.0,22.0,0.0,0.0,342.0,8.0,12.0
Diana Taurasi,2006,PHO,24.0,34.0,34.0,33.9,8.8,19.4,0.452,3.6,9.0,0.397,5.2,10.4,0.499,0.543,4.2,5.4,0.781,0.7,2.9,3.6,4.1,1.2,0.8,2.3,2.9,25.3,1152.0,9.3,20.6,0.452,3.8,9.5,0.397,5.5,11.1,0.499,4.5,5.7,0.781,0.8,3.0,3.8,4.3,1.3,0.8,2.5,3.1,26.9,13.0,28.7,0.452,5.3,13.3,0.397,7.7,15.4,0.499,6.2,8.0,0.781,1.1,4.2,5.3,6.0,1.8,1.2,3.4,4.3,37.4,116.0,107.0,28.0,0.581,0.462,0.277,2.5,9.6,6.0,23.0,1.8,1.9,9.6,30.9,6.8,0.0,6.8,0.283,0.452,15.1,0.538,0.174,0.1,0.155,0.094,0.462,0.499,0.687,0.394,0.431,0.371,0.397,0.356,0.694,0.0,0.0,0.033,0.4,1.0,0.0,6.0,14.0,33.0,16.0,53.0,18.0,71.0,2.0,299.0,17.0,19.0
Diana Taurasi,2007,PHO,25.0,32.0,32.0,32.0,6.4,14.6,0.44,3.0,8.1,0.367,3.5,6.5,0.531,0.542,3.3,4.0,0.835,0.6,3.7,4.2,4.3,1.4,1.1,2.6,3.3,19.2,1025.0,7.2,16.4,0.44,3.3,9.1,0.367,3.9,7.3,0.531,3.7,4.5,0.835,0.6,4.1,4.7,4.8,1.6,1.2,3.0,3.7,21.5,9.6,21.8,0.44,4.4,12.1,0.367,5.2,9.7,0.531,4.9,5.9,0.835,0.8,5.4,6.3,6.4,2.1,1.6,3.9,4.9,28.5,110.0,102.0,22.9,0.585,0.553,0.271,2.0,11.9,7.1,23.2,2.1,2.6,13.8,25.1,3.9,0.7,4.5,0.213,0.44,15.8,0.447,0.218,0.045,0.107,0.077,0.553,0.531,0.686,0.333,0.46,0.306,0.367,0.532,0.853,0.0,0.0,0.015,0.25,4.0,0.0,6.4,2.7,50.0,13.0,49.0,15.0,52.0,6.0,312.0,23.0,10.0
Diana Taurasi,2008,PHO,26.0,34.0,34.0,31.9,7.6,17.0,0.446,2.6,7.3,0.36,5.0,9.8,0.509,0.522,6.3,7.3,0.87,0.8,4.3,5.1,3.6,1.4,1.4,2.4,3.7,24.1,1083.0,8.6,19.2,0.446,3.0,8.2,0.36,5.6,11.0,0.509,7.1,8.2,0.87,0.9,4.9,5.7,4.0,1.5,1.5,2.8,4.2,27.3,11.5,25.9,0.446,4.0,11.0,0.36,7.6,14.8,0.509,9.6,11.0,0.87,1.2,6.5,7.7,5.4,2.1,2.1,3.7,5.6,36.7,120.0,105.0,29.7,0.596,0.427,0.427,2.7,14.3,8.6,20.5,2.1,3.3,10.8,29.3,7.2,0.2,7.4,0.327,0.446,14.6,0.573,0.187,0.124,0.166,0.097,0.427,0.509,0.648,0.458,0.479,0.357,0.36,0.42,0.697,0.0,0.0,0.016,0.0,1.0,0.0,2.1,10.4,44.0,17.0,46.0,20.0,102.0,14.0,276.0,25.0,27.0
DeWanna Bonner,2009,PHO,21.0,34.0,0.0,21.3,3.7,8.2,0.457,0.1,0.4,0.154,3.7,7.8,0.472,0.46,3.7,4.5,0.812,2.1,3.7,5.8,0.4,0.7,0.7,1.0,2.1,11.2,724.0,6.3,13.8,0.457,0.1,0.6,0.154,6.2,13.2,0.472,6.2,7.7,0.812,3.5,6.3,9.7,0.6,1.1,1.2,1.7,3.5,18.9,8.4,18.3,0.457,0.1,0.9,0.154,8.2,17.5,0.472,8.2,10.2,0.812,4.6,8.3,12.9,0.9,1.5,1.6,2.2,4.6,25.1,114.0,103.0,21.1,0.551,0.047,0.554,11.6,18.1,15.1,2.8,1.5,2.4,9.0,22.0,2.7,0.5,3.2,0.214,0.457,5.0,0.953,0.561,0.205,0.144,0.036,0.047,0.472,0.577,0.316,0.325,0.3,0.154,0.632,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.6,-5.3,5.0,14.0,34.0,6.0,65.0,3.0,30.0,6.0,27.0
Diana Taurasi,2009,PHO,27.0,31.0,31.0,31.5,6.5,14.0,0.461,2.5,6.3,0.407,3.9,7.7,0.504,0.552,4.9,5.5,0.894,0.6,5.2,5.7,3.5,1.2,1.4,2.6,3.1,20.4,976.0,7.4,16.0,0.461,2.9,7.2,0.407,4.5,8.9,0.504,5.6,6.3,0.894,0.7,5.9,6.6,4.0,1.3,1.6,3.0,3.5,23.3,9.8,21.2,0.461,3.9,9.5,0.407,5.9,11.7,0.504,7.4,8.3,0.894,0.9,7.8,8.7,5.3,1.8,2.1,4.0,4.6,30.9,117.0,103.0,25.4,0.62,0.447,0.392,2.2,17.0,10.2,18.2,1.8,3.1,13.9,25.4,4.7,0.7,5.4,0.267,0.461,15.2,0.553,0.205,0.094,0.122,0.131,0.447,0.504,0.697,0.39,0.472,0.316,0.407,0.471,0.734,0.0,0.0,0.046,0.333,5.0,1.0,6.1,7.2,41.0,18.0,42.0,15.0,77.0,12.0,247.0,14.0,13.0
DeWanna Bonner,2010,PHO,22.0,32.0,4.0,25.4,4.1,8.9,0.465,0.6,1.7,0.358,3.5,7.2,0.489,0.498,3.1,3.7,0.84,2.1,4.0,6.1,1.3,0.7,1.2,1.3,1.8,12.0,813.0,5.8,12.6,0.465,0.8,2.3,0.358,5.0,10.2,0.489,4.4,5.3,0.84,3.0,5.7,8.7,1.8,1.0,1.6,1.8,2.6,17.0,7.8,16.7,0.465,1.1,3.1,0.358,6.7,13.6,0.489,5.9,7.0,0.84,3.9,7.6,11.5,2.4,1.3,2.2,2.4,3.4,22.5,116.0,109.0,19.5,0.569,0.187,0.419,9.7,16.7,13.4,7.4,1.3,3.3,10.9,19.7,2.6,0.2,2.8,0.167,0.465,8.4,0.813,0.43,0.165,0.12,0.067,0.187,0.489,0.615,0.255,0.412,0.368,0.358,0.487,0.947,0.0,0.0,0.038,0.0,0.0,0.0,-0.8,-3.5,20.0,13.0,34.0,4.0,55.0,2.0,87.0,15.0,28.0
Diana Taurasi,2010,PHO,28.0,31.0,31.0,32.2,6.8,16.0,0.427,2.6,6.9,0.374,4.3,9.1,0.466,0.507,6.4,7.0,0.912,0.4,3.9,4.3,4.7,1.2,0.6,3.5,3.5,22.6,998.0,7.6,17.9,0.427,2.9,7.7,0.374,4.8,10.2,0.466,7.1,7.8,0.912,0.4,4.3,4.8,5.3,1.4,0.7,4.0,4.0,25.3,10.2,23.8,0.427,3.8,10.3,0.374,6.3,13.6,0.466,9.5,10.4,0.912,0.6,5.8,6.3,7.0,1.8,0.9,5.3,5.3,33.7,111.0,110.0,22.8,0.592,0.431,0.437,1.4,12.7,7.4,23.8,1.8,1.4,15.7,29.8,3.8,0.0,3.8,0.185,0.427,15.5,0.569,0.143,0.093,0.185,0.119,0.431,0.466,0.704,0.37,0.391,0.39,0.374,0.318,0.575,0.0,0.0,0.037,0.375,3.0,0.0,1.8,3.8,57.0,22.0,47.0,23.0,83.0,9.0,330.0,19.0,11.0
Tina Charles,2010,CON,21.0,34.0,34.0,31.0,6.1,12.4,0.487,0.0,0.0,0.0,6.1,12.4,0.488,0.487,3.4,4.5,0.763,3.8,7.9,11.7,1.5,0.7,1.7,2.1,2.1,15.5,1054.0,7.0,14.4,0.487,0.0,0.0,0.0,7.0,14.4,0.488,4.0,5.2,0.763,4.4,9.2,13.6,1.7,0.9,1.9,2.4,2.5,18.0,10.0,20.5,0.487,0.0,0.0,0.0,10.0,20.5,0.488,5.6,7.4,0.763,6.3,13.1,19.3,2.5,1.2,2.8,3.4,3.5,25.6,109.0,96.0,23.2,0.539,0.002,0.359,13.8,28.7,21.3,9.0,1.2,4.2,12.7,23.3,2.8,2.4,5.2,0.236,0.487,6.8,0.998,0.426,0.255,0.189,0.128,0.002,0.488,0.589,0.389,0.375,0.519,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-3.6,32.0,19.0,37.0,9.0,82.0,6.0,123.0,17.0,22.0
