team,year,home_away,opp,team_score,opp_score,day,month,all_around_star,and_one_machine,catch_and_shoot,corner_3_specialist,efficient_scorer,elite_scorer,fast_break_threat,free_throw_generator,glass_cleaner,heave_chucker,impact_bench,midrange_sniper,offensive_hub,offensive_rebounder,playmaker,plus_minus_driver,self_creator,slasher,steal_artist,three_point_specialist,turnover_prone,volume_shooter,team_per_game_fg,team_per_game_fga,team_per_game_3p,team_per_game_3pa,team_per_game_2p,team_per_game_2pa,team_per_game_ft,team_per_game_fta,team_per_game_orb,team_per_game_ast,team_per_game_tov,team_per_game_pf,team_per_game_pts,opp_per_game_fg,opp_per_game_fga,opp_per_game_3p,opp_per_game_3pa,opp_per_game_2pa,opp_per_game_fta,opp_per_game_stl,opp_per_game_blk,opp_per_game_tov,opp_per_game_pf,opp_per_game_pts,team_per_poss_fg,team_per_poss_fga,team_per_poss_fg_pct,team_per_poss_3p,team_per_poss_3pa,team_per_poss_3p_pct,team_per_poss_2p,team_per_poss_2pa,team_per_poss_2p_pct,team_per_poss_ft,team_per_poss_fta,team_per_poss_ft_pct,team_per_poss_orb,team_per_poss_ast,team_per_poss_tov,team_per_poss_pf,team_per_poss_pts,opp_per_poss_fg,opp_per_poss_fga,opp_per_poss_fg_pct,opp_per_poss_3p,opp_per_poss_3pa,opp_per_poss_3p_pct,opp_per_poss_2p,opp_per_poss_2pa,opp_per_poss_2p_pct,opp_per_poss_ft,opp_per_poss_fta,opp_per_poss_ft_pct,opp_per_poss_stl,opp_per_poss_blk,opp_per_poss_tov,opp_per_poss_pf,opp_per_poss_pts,team_dist,team_pct_of_fga_by_distance_0_3,team_pct_of_fga_by_distance_3_10,team_pct_of_fga_by_distance_10_16,team_pct_of_fga_by_distance_16_3p,team_fg_pct_by_distance_0_3,team_fg_pct_by_distance_3_10,team_fg_pct_by_distance_10_16,team_fg_pct_by_distance_16_3p,team_pct_of_fg_ast'd_2p,team_pct_of_fg_ast'd_3p,team_corner_pct3pa,team_corner_3p_pct,team_age,team_mov,team_sos,team_srs,team_pace,team_ftr,team_3par,team_ts_pct,team_efg_pct,team_tov_pct,team_orb_pct,team_ft_fga,team_efg_pct1,team_tov_pct1,team_drb_pct,team_ft_fga1
ATL,2020,1.0,DAL,105,95,26.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,31.4,71.0,5.9,16.9,25.5,54.2,12.2,16.1,9.0,16.9,14.4,18.5,81.0,31.8,69.7,7.9,22.7,47.0,19.7,8.3,3.8,12.9,16.7,87.6,38.8,87.8,0.442,7.3,20.9,0.35,31.5,67.0,0.471,15.1,20.0,0.758,11.2,20.9,17.8,22.9,100.1,39.3,86.2,0.457,9.8,28.1,0.348,29.6,58.1,0.509,19.9,24.4,0.816,10.2,4.7,15.9,20.7,108.4,13.1,0.13,0.311,0.154,0.168,0.621,0.5,0.363,0.399,0.472,0.815,0.094,0.343,25.8,-6.68,0.56,-6.13,80.0,0.227,0.237,0.518,0.484,15.5,25.3,0.172,0.513,14.1,75.7,0.231
ATL,2020,0.0,LVA,70,100,29.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,31.4,71.0,5.9,16.9,25.5,54.2,12.2,16.1,9.0,16.9,14.4,18.5,81.0,31.8,69.7,7.9,22.7,47.0,19.7,8.3,3.8,12.9,16.7,87.6,38.8,87.8,0.442,7.3,20.9,0.35,31.5,67.0,0.471,15.1,20.0,0.758,11.2,20.9,17.8,22.9,100.1,39.3,86.2,0.457,9.8,28.1,0.348,29.6,58.1,0.509,19.9,24.4,0.816,10.2,4.7,15.9,20.7,108.4,13.1,0.13,0.311,0.154,0.168,0.621,0.5,0.363,0.399,0.472,0.815,0.094,0.343,25.8,-6.68,0.56,-6.13,80.0,0.227,0.237,0.518,0.484,15.5,25.3,0.172,0.513,14.1,75.7,0.231
ATL,2020,1.0,NYL,84,78,31.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,31.4,71.0,5.9,16.9,25.5,54.2,12.2,16.1,9.0,16.9,14.4,18.5,81.0,31.8,69.7,7.9,22.7,47.0,19.7,8.3,3.8,12.9,16.7,87.6,38.8,87.8,0.442,7.3,20.9,0.35,31.5,67.0,0.471,15.1,20.0,0.758,11.2,20.9,17.8,22.9,100.1,39.3,86.2,0.457,9.8,28.1,0.348,29.6,58.1,0.509,19.9,24.4,0.816,10.2,4.7,15.9,20.7,108.4,13.1,0.13,0.311,0.154,0.168,0.621,0.5,0.363,0.399,0.472,0.815,0.094,0.343,25.8,-6.68,0.56,-6.13,80.0,0.227,0.237,0.518,0.484,15.5,25.3,0.172,0.513,14.1,75.7,0.231
ATL,2020,0.0,IND,77,93,2.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,31.4,71.0,5.9,16.9,25.5,54.2,12.2,16.1,9.0,16.9,14.4,18.5,81.0,31.8,69.7,7.9,22.7,47.0,19.7,8.3,3.8,12.9,16.7,87.6,38.8,87.8,0.442,7.3,20.9,0.35,31.5,67.0,0.471,15.1,20.0,0.758,11.2,20.9,17.8,22.9,100.1,39.3,86.2,0.457,9.8,28.1,0.348,29.6,58.1,0.509,19.9,24.4,0.816,10.2,4.7,15.9,20.7,108.4,13.1,0.13,0.311,0.154,0.168,0.621,0.5,0.363,0.399,0.472,0.815,0.094,0.343,25.8,-6.68,0.56,-6.13,80.0,0.227,0.237,0.518,0.484,15.5,25.3,0.172,0.513,14.1,75.7,0.231
ATL,2020,1.0,PHO,74,81,4.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,31.4,71.0,5.9,16.9,25.5,54.2,12.2,16.1,9.0,16.9,14.4,18.5,81.0,31.8,69.7,7.9,22.7,47.0,19.7,8.3,3.8,12.9,16.7,87.6,38.8,87.8,0.442,7.3,20.9,0.35,31.5,67.0,0.471,15.1,20.0,0.758,11.2,20.9,17.8,22.9,100.1,39.3,86.2,0.457,9.8,28.1,0.348,29.6,58.1,0.509,19.9,24.4,0.816,10.2,4.7,15.9,20.7,108.4,13.1,0.13,0.311,0.154,0.168,0.621,0.5,0.363,0.399,0.472,0.815,0.094,0.343,25.8,-6.68,0.56,-6.13,80.0,0.227,0.237,0.518,0.484,15.5,25.3,0.172,0.513,14.1,75.7,0.231
ATL,2020,1.0,SEA,92,93,6.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,31.4,71.0,5.9,16.9,25.5,54.2,12.2,16.1,9.0,16.9,14.4,18.5,81.0,31.8,69.7,7.9,22.7,47.0,19.7,8.3,3.8,12.9,16.7,87.6,38.8,87.8,0.442,7.3,20.9,0.35,31.5,67.0,0.471,15.1,20.0,0.758,11.2,20.9,17.8,22.9,100.1,39.3,86.2,0.457,9.8,28.1,0.348,29.6,58.1,0.509,19.9,24.4,0.816,10.2,4.7,15.9,20.7,108.4,13.1,0.13,0.311,0.154,0.168,0.621,0.5,0.363,0.399,0.472,0.815,0.094,0.343,25.8,-6.68,0.56,-6.13,80.0,0.227,0.237,0.518,0.484,15.5,25.3,0.172,0.513,14.1,75.7,0.231
ATL,2020,0.0,DAL,75,85,8.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,31.4,71.0,5.9,16.9,25.5,54.2,12.2,16.1,9.0,16.9,14.4,18.5,81.0,31.8,69.7,7.9,22.7,47.0,19.7,8.3,3.8,12.9,16.7,87.6,38.8,87.8,0.442,7.3,20.9,0.35,31.5,67.0,0.471,15.1,20.0,0.758,11.2,20.9,17.8,22.9,100.1,39.3,86.2,0.457,9.8,28.1,0.348,29.6,58.1,0.509,19.9,24.4,0.816,10.2,4.7,15.9,20.7,108.4,13.1,0.13,0.311,0.154,0.168,0.621,0.5,0.363,0.399,0.472,0.815,0.094,0.343,25.8,-6.68,0.56,-6.13,80.0,0.227,0.237,0.518,0.484,15.5,25.3,0.172,0.513,14.1,75.7,0.231
ATL,2020,1.0,CON,82,93,10.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,31.4,71.0,5.9,16.9,25.5,54.2,12.2,16.1,9.0,16.9,14.4,18.5,81.0,31.8,69.7,7.9,22.7,47.0,19.7,8.3,3.8,12.9,16.7,87.6,38.8,87.8,0.442,7.3,20.9,0.35,31.5,67.0,0.471,15.1,20.0,0.758,11.2,20.9,17.8,22.9,100.1,39.3,86.2,0.457,9.8,28.1,0.348,29.6,58.1,0.509,19.9,24.4,0.816,10.2,4.7,15.9,20.7,108.4,13.1,0.13,0.311,0.154,0.168,0.621,0.5,0.363,0.399,0.472,0.815,0.094,0.343,25.8,-6.68,0.56,-6.13,80.0,0.227,0.237,0.518,0.484,15.5,25.3,0.172,0.513,14.1,75.7,0.231
ATL,2020,0.0,SEA,63,100,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.4,71.0,5.9,16.9,25.5,54.2,12.2,16.1,9.0,16.9,14.4,18.5,81.0,31.8,69.7,7.9,22.7,47.0,19.7,8.3,3.8,12.9,16.7,87.6,38.8,87.8,0.442,7.3,20.9,0.35,31.5,67.0,0.471,15.1,20.0,0.758,11.2,20.9,17.8,22.9,100.1,39.3,86.2,0.457,9.8,28.1,0.348,29.6,58.1,0.509,19.9,24.4,0.816,10.2,4.7,15.9,20.7,108.4,13.1,0.13,0.311,0.154,0.168,0.621,0.5,0.363,0.399,0.472,0.815,0.094,0.343,25.8,-6.68,0.56,-6.13,80.0,0.227,0.237,0.518,0.484,15.5,25.3,0.172,0.513,14.1,75.7,0.231
ATL,2020,0.0,PHO,80,96,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.4,71.0,5.9,16.9,25.5,54.2,12.2,16.1,9.0,16.9,14.4,18.5,81.0,31.8,69.7,7.9,22.7,47.0,19.7,8.3,3.8,12.9,16.7,87.6,38.8,87.8,0.442,7.3,20.9,0.35,31.5,67.0,0.471,15.1,20.0,0.758,11.2,20.9,17.8,22.9,100.1,39.3,86.2,0.457,9.8,28.1,0.348,29.6,58.1,0.509,19.9,24.4,0.816,10.2,4.7,15.9,20.7,108.4,13.1,0.13,0.311,0.154,0.168,0.621,0.5,0.363,0.399,0.472,0.815,0.094,0.343,25.8,-6.68,0.56,-6.13,80.0,0.227,0.237,0.518,0.484,15.5,25.3,0.172,0.513,14.1,75.7,0.231
