Team,team_per_game_G,team_per_game_MP,team_per_game_FG,team_per_game_FGA,team_per_game_FG%,team_per_game_3P,team_per_game_3PA,team_per_game_3P%,team_per_game_2P,team_per_game_2PA,team_per_game_2P%,team_per_game_FT,team_per_game_FTA,team_per_game_FT%,team_per_game_ORB,team_per_game_DRB,team_per_game_TRB,team_per_game_AST,team_per_game_STL,team_per_game_BLK,team_per_game_TOV,team_per_game_PF,team_per_game_PTS,team_per_game_table_id,year,opp_per_game_G,opp_per_game_MP,opp_per_game_FG,opp_per_game_FGA,opp_per_game_FG%,opp_per_game_3P,opp_per_game_3PA,opp_per_game_3P%,opp_per_game_2P,opp_per_game_2PA,opp_per_game_2P%,opp_per_game_FT,opp_per_game_FTA,opp_per_game_FT%,opp_per_game_ORB,opp_per_game_DRB,opp_per_game_TRB,opp_per_game_AST,opp_per_game_STL,opp_per_game_BLK,opp_per_game_TOV,opp_per_game_PF,opp_per_game_PTS,opp_per_game_table_id,team_totals_G,team_totals_MP,team_totals_FG,team_totals_FGA,team_totals_FG%,team_totals_3P,team_totals_3PA,team_totals_3P%,team_totals_2P,team_totals_2PA,team_totals_2P%,team_totals_FT,team_totals_FTA,team_totals_FT%,team_totals_ORB,team_totals_DRB,team_totals_TRB,team_totals_AST,team_totals_STL,team_totals_BLK,team_totals_TOV,team_totals_PF,team_totals_PTS,team_totals_table_id,opp_totals_G,opp_totals_MP,opp_totals_FG,opp_totals_FGA,opp_totals_FG%,opp_totals_3P,opp_totals_3PA,opp_totals_3P%,opp_totals_2P,opp_totals_2PA,opp_totals_2P%,opp_totals_FT,opp_totals_FTA,opp_totals_FT%,opp_totals_ORB,opp_totals_DRB,opp_totals_TRB,opp_totals_AST,opp_totals_STL,opp_totals_BLK,opp_totals_TOV,opp_totals_PF,opp_totals_PTS,opp_totals_table_id,team_per_poss_G,team_per_poss_MP,team_per_poss_FG,team_per_poss_FGA,team_per_poss_FG%,team_per_poss_3P,team_per_poss_3PA,team_per_poss_3P%,team_per_poss_2P,team_per_poss_2PA,team_per_poss_2P%,team_per_poss_FT,team_per_poss_FTA,team_per_poss_FT%,team_per_poss_ORB,team_per_poss_DRB,team_per_poss_TRB,team_per_poss_AST,team_per_poss_STL,team_per_poss_BLK,team_per_poss_TOV,team_per_poss_PF,team_per_poss_PTS,team_per_poss_table_id,opp_per_poss_G,opp_per_poss_MP,opp_per_poss_FG,opp_per_poss_FGA,opp_per_poss_FG%,opp_per_poss_3P,opp_per_poss_3PA,opp_per_poss_3P%,opp_per_poss_2P,opp_per_poss_2PA,opp_per_poss_2P%,opp_per_poss_FT,opp_per_poss_FTA,opp_per_poss_FT%,opp_per_poss_ORB,opp_per_poss_DRB,opp_per_poss_TRB,opp_per_poss_AST,opp_per_poss_STL,opp_per_poss_BLK,opp_per_poss_TOV,opp_per_poss_PF,opp_per_poss_PTS,opp_per_poss_table_id,Rk_x,G_x,MP_x,FG%_x,Dist._x,Unnamed: 6_level_1_x,% of FGA by Distance_2P_x,% of FGA by Distance_0-3_x,% of FGA by Distance_3-10_x,% of FGA by Distance_10-16_x,% of FGA by Distance_16-3P_x,% of FGA by Distance_3P_x,Unnamed: 13_level_1_x,FG% by Distance_2P_x,FG% by Distance_0-3_x,FG% by Distance_3-10_x,FG% by Distance_10-16_x,FG% by Distance_16-3P_x,FG% by Distance_3P_x,Unnamed: 20_level_1_x,% of FG Ast'd_2P_x,% of FG Ast'd_3P_x,Unnamed: 23_level_1_x,Corner_%3PA_x,Corner_3P%_x,table_id_x,Rk_y,G_y,MP_y,FG%_y,Dist._y,Unnamed: 6_level_1_y,% of FGA by Distance_2P_y,% of FGA by Distance_0-3_y,% of FGA by Distance_3-10_y,% of FGA by Distance_10-16_y,% of FGA by Distance_16-3P_y,% of FGA by Distance_3P_y,Unnamed: 13_level_1_y,FG% by Distance_2P_y,FG% by Distance_0-3_y,FG% by Distance_3-10_y,FG% by Distance_10-16_y,FG% by Distance_16-3P_y,FG% by Distance_3P_y,Unnamed: 20_level_1_y,% of FG Ast'd_2P_y,% of FG Ast'd_3P_y,Unnamed: 23_level_1_y,Corner_%3PA_y,Corner_3P%_y,table_id_y,team_advanced_Age,team_advanced_W,team_advanced_L,team_advanced_PW,team_advanced_PL,team_advanced_MOV,team_advanced_SOS,team_advanced_SRS,team_advanced_ORtg,team_advanced_DRtg,team_advanced_NRtg,team_advanced_Pace,team_advanced_FTr,team_advanced_3PAr,team_advanced_TS%,team_advanced_nan,team_advanced_eFG%,team_advanced_TOV%,team_advanced_ORB%,team_advanced_FT/FGA,team_advanced_nan,team_advanced_eFG%,team_advanced_TOV%,team_advanced_DRB%,team_advanced_FT/FGA,team_advanced_nan,team_advanced_Arena,team_advanced_advanced-team
Atlanta Dream,22.0,202.3,31.4,71.0,0.442,5.9,16.9,0.35,25.5,54.2,0.471,12.2,16.1,0.758,9.0,25.8,34.9,16.9,6.9,3.3,14.4,18.5,81.0,per_game-team,2020,22.0,202.3,31.8,69.7,0.457,7.9,22.7,0.348,23.9,47.0,0.509,16.1,19.7,0.816,8.3,26.8,35.0,20.0,8.3,3.8,12.9,16.7,87.6,per_game-opponent,22.0,4450.0,691.0,1563.0,0.442,130.0,371.0,0.35,561.0,1192.0,0.471,269.0,355.0,0.758,199.0,568.0,767.0,371.0,152.0,73.0,316.0,408.0,1781.0,totals-team,22.0,4450.0,700.0,1533.0,0.457,174.0,500.0,0.348,526.0,1033.0,0.509,354.0,434.0,0.816,182.0,589.0,771.0,441.0,182.0,84.0,283.0,368.0,1928.0,totals-opponent,22.0,4450.0,38.8,87.8,0.442,7.3,20.9,0.35,31.5,67.0,0.471,15.1,20.0,0.758,11.2,31.9,43.1,20.9,8.5,4.1,17.8,22.9,100.1,per_poss-team,22.0,4450.0,39.3,86.2,0.457,9.8,28.1,0.348,29.6,58.1,0.509,19.9,24.4,0.816,10.2,33.1,43.3,24.8,10.2,4.7,15.9,20.7,108.4,per_poss-opponent,1.0,22.0,4450.0,0.442,13.1,,0.763,0.13,0.311,0.154,0.168,0.237,,0.471,0.621,0.5,0.363,0.399,0.35,,0.472,0.815,,0.094,0.343,shooting-team,1.0,22.0,4450.0,0.457,14.0,,0.674,0.121,0.321,0.106,0.125,0.326,,0.509,0.758,0.47,0.472,0.403,0.348,,0.549,0.879,,0.114,0.421,shooting-opponent,25.8,7,15,5,17,-6.68,0.56,-6.13,100.1,108.4,-8.3,80.0,.227,.237,.518,,.484,15.5,25.3,.172,,.513,14.1,75.7,.231,,IMG Academy,advanced-team
Atlanta Dream,32.0,201.6,30.6,73.5,0.417,6.1,19.8,0.31,24.5,53.7,0.456,11.3,15.7,0.72,9.7,24.4,34.1,17.4,8.9,4.6,11.0,18.4,78.7,per_game-team,2021,32.0,201.6,30.2,66.2,0.457,8.4,21.7,0.386,21.8,44.4,0.492,15.5,19.7,0.787,8.7,29.6,38.3,20.8,6.1,3.9,15.1,16.3,84.3,per_game-opponent,32.0,6450.0,980.0,2351.0,0.417,196.0,632.0,0.31,784.0,1719.0,0.456,362.0,503.0,0.72,310.0,781.0,1091.0,558.0,284.0,148.0,353.0,588.0,2518.0,totals-team,32.0,6450.0,967.0,2117.0,0.457,268.0,695.0,0.386,699.0,1422.0,0.492,496.0,630.0,0.787,279.0,948.0,1227.0,667.0,195.0,125.0,482.0,521.0,2698.0,totals-opponent,32.0,6450.0,38.7,92.7,0.417,7.7,24.9,0.31,30.9,67.8,0.456,14.3,19.8,0.72,12.2,30.8,43.0,22.0,11.2,5.8,13.9,23.2,99.3,per_poss-team,32.0,6450.0,38.1,83.5,0.457,10.6,27.4,0.386,27.6,56.1,0.492,19.6,24.8,0.787,11.0,37.4,48.4,26.3,7.7,4.9,19.0,20.5,106.4,per_poss-opponent,1.0,32.0,6450.0,0.417,13.1,,0.731,0.234,0.188,0.128,0.182,0.269,,0.456,0.593,0.413,0.389,0.372,0.31,,0.496,0.862,,0.166,0.352,shooting-team,1.0,32.0,6450.0,0.457,13.0,,0.672,0.245,0.195,0.132,0.1,0.328,,0.492,0.624,0.443,0.409,0.373,0.386,,0.607,0.907,,0.197,0.394,shooting-opponent,27.4,8,24,9,23,-5.63,0.24,-5.38,99.3,106.4,-7.1,78.6,.214,.269,.489,,.459,12.1,24.6,.154,,.520,16.8,73.7,.234,,Gateway Center,advanced-team
Atlanta Dream,36.0,201.4,28.8,68.4,0.42,7.5,21.4,0.351,21.2,47.0,0.452,13.5,17.3,0.777,8.6,26.8,35.4,17.6,7.8,3.1,15.2,19.5,78.5,per_game-team,2022,36.0,201.4,28.6,66.4,0.432,8.3,23.9,0.348,20.3,42.5,0.479,15.9,20.5,0.777,7.4,26.6,33.9,19.6,8.0,4.7,14.1,17.9,81.5,per_game-opponent,36.0,7250.0,1035.0,2463.0,0.42,271.0,771.0,0.351,764.0,1692.0,0.452,485.0,624.0,0.777,310.0,966.0,1276.0,632.0,280.0,112.0,547.0,702.0,2826.0,totals-team,36.0,7250.0,1031.0,2389.0,0.432,299.0,860.0,0.348,732.0,1529.0,0.479,573.0,737.0,0.777,265.0,956.0,1221.0,707.0,287.0,169.0,506.0,644.0,2934.0,totals-opponent,36.0,7250.0,35.9,85.5,0.42,9.4,26.8,0.351,26.5,58.7,0.452,16.8,21.7,0.777,10.8,33.5,44.3,21.9,9.7,3.9,19.0,24.4,98.1,per_poss-team,36.0,7250.0,35.8,82.9,0.432,10.4,29.8,0.348,25.4,53.1,0.479,19.9,25.6,0.777,9.2,33.2,42.4,24.5,10.0,5.9,17.6,22.4,101.8,per_poss-opponent,1.0,36.0,7250.0,0.42,13.5,,0.687,0.22,0.194,0.136,0.137,0.313,,0.452,0.612,0.392,0.353,0.376,0.351,,0.526,0.849,,0.182,0.357,shooting-team,1.0,36.0,7250.0,0.432,14.0,,0.64,0.238,0.16,0.118,0.124,0.36,,0.479,0.618,0.403,0.422,0.364,0.348,,0.612,0.866,,0.191,0.415,shooting-opponent,26.2,14,22,13,23,-3.00,0.02,-2.98,98.1,101.8,-3.7,79.5,.253,.313,.516,,.475,16.7,24.5,.197,,.494,15.7,78.5,.240,,Gateway Center Arena @ College Park,advanced-team
Atlanta Dream,40.0,201.3,29.4,68.7,0.428,6.4,19.2,0.336,23.0,49.5,0.464,17.3,22.0,0.788,8.0,28.1,36.1,18.6,6.3,4.6,13.6,19.3,82.5,per_game-team,2023,40.0,201.3,29.7,69.2,0.43,7.2,21.7,0.333,22.5,47.5,0.474,17.3,21.6,0.803,7.8,27.8,35.6,18.9,7.7,4.3,13.0,19.8,84.0,per_game-opponent,40.0,8050.0,1176.0,2747.0,0.428,257.0,766.0,0.336,919.0,1981.0,0.464,692.0,878.0,0.788,321.0,1123.0,1444.0,744.0,251.0,185.0,545.0,772.0,3301.0,totals-team,40.0,8050.0,1189.0,2766.0,0.43,289.0,868.0,0.333,900.0,1898.0,0.474,693.0,863.0,0.803,313.0,1112.0,1425.0,756.0,307.0,173.0,520.0,791.0,3360.0,totals-opponent,40.0,8050.0,36.0,84.1,0.428,7.9,23.5,0.336,28.1,60.7,0.464,21.2,26.9,0.788,9.8,34.4,44.2,22.8,7.7,5.7,16.7,23.6,101.1,per_poss-team,40.0,8050.0,36.4,84.7,0.43,8.9,26.6,0.333,27.6,58.1,0.474,21.2,26.4,0.803,9.6,34.1,43.6,23.2,9.4,5.3,15.9,24.2,102.9,per_poss-opponent,1.0,40.0,8050.0,0.428,12.5,,0.721,0.223,0.248,0.15,0.1,0.279,,0.464,0.626,0.388,0.41,0.37,0.336,,0.561,0.887,,0.166,0.244,shooting-team,1.0,40.0,8050.0,0.43,13.0,,0.686,0.219,0.246,0.119,0.102,0.314,,0.474,0.619,0.426,0.355,0.418,0.333,,0.566,0.855,,0.209,0.343,shooting-opponent,26.5,19,21,18,22,-1.48,0.47,-1.01,101.1,102.9,-1.8,81.1,.320,.279,.527,,.475,14.8,22.4,.252,,.482,14.2,78.2,.251,,Gateway Center Arena @ College Park,advanced-team
Chicago Sky,22.0,200.0,33.5,68.2,0.491,7.6,21.6,0.351,25.9,46.5,0.557,12.1,14.9,0.817,7.3,26.3,33.6,21.8,7.5,4.0,14.9,18.0,86.7,per_game-team,2020,22.0,200.0,31.5,69.5,0.454,6.9,18.6,0.368,24.6,50.8,0.485,14.2,18.3,0.777,8.1,24.1,32.2,19.6,9.1,3.3,13.7,16.3,84.1,per_game-opponent,22.0,4400.0,737.0,1500.0,0.491,167.0,476.0,0.351,570.0,1024.0,0.557,267.0,327.0,0.817,161.0,578.0,739.0,480.0,164.0,89.0,328.0,396.0,1908.0,totals-team,22.0,4400.0,693.0,1528.0,0.454,151.0,410.0,0.368,542.0,1118.0,0.485,313.0,403.0,0.777,179.0,530.0,709.0,431.0,201.0,72.0,301.0,359.0,1850.0,totals-opponent,22.0,4400.0,41.6,84.6,0.491,9.4,26.8,0.351,32.1,57.7,0.557,15.1,18.4,0.817,9.1,32.6,41.7,27.1,9.2,5.0,18.5,22.3,107.6,per_poss-team,22.0,4400.0,39.1,86.1,0.454,8.5,23.1,0.368,30.6,63.0,0.485,17.6,22.7,0.777,10.1,29.9,40.0,24.3,11.3,4.1,17.0,20.2,104.3,per_poss-opponent,2.0,22.0,4400.0,0.491,13.6,,0.683,0.137,0.305,0.121,0.119,0.317,,0.557,0.835,0.517,0.398,0.497,0.351,,0.579,0.898,,0.118,0.411,shooting-team,2.0,22.0,4400.0,0.454,13.0,,0.732,0.158,0.321,0.113,0.139,0.268,,0.485,0.669,0.458,0.366,0.432,0.368,,0.555,0.861,,0.098,0.4,shooting-opponent,27.2,12,10,13,9,2.64,-0.22,2.42,107.6,104.3,+3.3,80.7,.218,.317,.580,,.547,16.6,23.3,.178,,.503,15.0,76.4,.205,,IMG Academy,advanced-team
Chicago Sky,32.0,203.1,30.8,69.9,0.441,7.3,21.2,0.343,23.5,48.7,0.484,14.3,17.0,0.845,8.3,26.7,34.9,21.8,7.0,4.5,13.8,19.0,83.3,per_game-team,2021,32.0,203.1,30.3,69.9,0.433,6.6,18.7,0.352,23.7,51.3,0.463,14.8,19.0,0.781,9.4,26.5,35.9,18.9,7.3,4.9,14.8,16.6,81.9,per_game-opponent,32.0,6500.0,986.0,2236.0,0.441,233.0,679.0,0.343,753.0,1557.0,0.484,459.0,543.0,0.845,265.0,853.0,1118.0,697.0,225.0,144.0,441.0,609.0,2664.0,totals-team,32.0,6500.0,969.0,2237.0,0.433,210.0,597.0,0.352,759.0,1640.0,0.463,474.0,607.0,0.781,301.0,847.0,1148.0,604.0,234.0,158.0,474.0,532.0,2622.0,totals-opponent,32.0,6500.0,38.1,86.4,0.441,9.0,26.2,0.343,29.1,60.2,0.484,17.7,21.0,0.845,10.2,33.0,43.2,26.9,8.7,5.6,17.0,23.5,102.9,per_poss-team,32.0,6500.0,37.4,86.4,0.433,8.1,23.1,0.352,29.3,63.4,0.463,18.3,23.5,0.781,11.6,32.7,44.4,23.3,9.0,6.1,18.3,20.6,101.3,per_poss-opponent,2.0,32.0,6500.0,0.441,12.5,,0.696,0.275,0.212,0.106,0.103,0.304,,0.484,0.616,0.45,0.382,0.303,0.343,,0.651,0.888,,0.146,0.424,shooting-team,2.0,32.0,6500.0,0.433,12.0,,0.733,0.29,0.211,0.103,0.13,0.267,,0.463,0.575,0.439,0.348,0.341,0.352,,0.576,0.795,,0.188,0.295,shooting-opponent,28.4,16,16,18,14,1.31,-0.22,1.10,102.9,101.3,+1.6,79.6,.243,.304,.538,,.493,15.1,23.8,.205,,.480,15.9,73.9,.212,,Wintrust Arena,advanced-team
Chicago Sky,36.0,202.1,32.7,67.9,0.481,7.2,20.9,0.345,25.4,46.9,0.542,13.7,16.6,0.823,7.2,27.6,34.8,24.3,7.3,4.3,13.8,16.2,86.3,per_game-team,2022,36.0,202.1,31.1,71.1,0.438,6.5,19.1,0.34,24.7,52.1,0.474,12.5,15.8,0.789,8.6,24.6,33.2,20.9,7.8,3.4,13.1,16.5,81.3,per_game-opponent,36.0,7275.0,1176.0,2443.0,0.481,260.0,754.0,0.345,916.0,1689.0,0.542,493.0,599.0,0.823,260.0,994.0,1254.0,874.0,261.0,155.0,495.0,584.0,3105.0,totals-team,36.0,7275.0,1121.0,2561.0,0.438,233.0,686.0,0.34,888.0,1875.0,0.474,450.0,570.0,0.789,310.0,886.0,1196.0,751.0,280.0,124.0,472.0,595.0,2925.0,totals-opponent,36.0,7275.0,40.8,84.8,0.481,9.0,26.2,0.345,31.8,58.6,0.542,17.1,20.8,0.823,9.0,34.5,43.5,30.3,9.1,5.4,17.2,20.3,107.7,per_poss-team,36.0,7275.0,38.9,88.9,0.438,8.1,23.8,0.34,30.8,65.1,0.474,15.6,19.8,0.789,10.8,30.7,41.5,26.1,9.7,4.3,16.4,20.6,101.5,per_poss-opponent,2.0,36.0,7275.0,0.481,12.3,,0.691,0.295,0.192,0.12,0.085,0.309,,0.542,0.681,0.513,0.427,0.293,0.345,,0.694,0.915,,0.186,0.443,shooting-team,2.0,36.0,7275.0,0.438,12.0,,0.732,0.314,0.19,0.124,0.104,0.268,,0.474,0.608,0.388,0.362,0.36,0.34,,0.611,0.893,,0.192,0.379,shooting-opponent,30.0,26,10,25,11,5.00,-0.15,4.85,107.7,101.5,+6.2,79.2,.245,.309,.574,,.535,15.5,22.7,.202,,.483,14.4,76.2,.176,,Wintrust Arena,advanced-team
Chicago Sky,40.0,201.3,30.7,69.6,0.442,8.3,22.2,0.372,22.5,47.4,0.474,12.0,16.0,0.752,8.6,24.8,33.3,20.5,6.7,4.5,13.5,17.3,81.7,per_game-team,2023,40.0,201.3,31.0,68.7,0.451,6.6,19.6,0.334,24.5,49.1,0.498,14.8,18.4,0.804,8.4,26.5,34.9,20.8,7.7,3.6,13.2,15.9,83.4,per_game-opponent,40.0,8050.0,1229.0,2783.0,0.442,330.0,888.0,0.372,899.0,1895.0,0.474,481.0,640.0,0.752,343.0,990.0,1333.0,818.0,267.0,181.0,538.0,691.0,3269.0,totals-team,40.0,8050.0,1240.0,2747.0,0.451,262.0,785.0,0.334,978.0,1962.0,0.498,592.0,736.0,0.804,337.0,1060.0,1397.0,831.0,309.0,144.0,527.0,637.0,3334.0,totals-opponent,40.0,8050.0,38.8,87.9,0.442,10.4,28.1,0.372,28.4,59.9,0.474,15.2,20.2,0.752,10.8,31.3,42.1,25.8,8.4,5.7,17.0,21.8,103.3,per_poss-team,40.0,8050.0,39.2,86.8,0.451,8.3,24.8,0.334,30.9,62.0,0.498,18.7,23.3,0.804,10.6,33.5,44.1,26.3,9.8,4.6,16.7,20.1,105.3,per_poss-opponent,2.0,40.0,8050.0,0.442,13.6,,0.681,0.233,0.179,0.129,0.14,0.319,,0.474,0.626,0.433,0.369,0.373,0.372,,0.581,0.897,,0.184,0.46,shooting-team,2.0,40.0,8050.0,0.451,12.0,,0.714,0.299,0.214,0.118,0.083,0.286,,0.498,0.652,0.399,0.389,0.357,0.334,,0.61,0.893,,0.2,0.389,shooting-opponent,27.2,18,22,17,23,-1.63,0.11,-1.52,103.3,105.3,-2.0,78.7,.230,.319,.533,,.501,14.9,24.4,.173,,.499,14.6,74.6,.216,,Wintrust Arena,advanced-team
Connecticut Sun,22.0,201.1,29.7,69.5,0.427,5.9,19.0,0.311,23.8,50.5,0.47,15.1,20.0,0.755,10.0,25.5,35.5,18.3,9.2,3.1,13.3,18.8,80.4,per_game-team,2020,22.0,201.1,28.8,65.0,0.443,6.8,20.7,0.33,22.0,44.4,0.496,15.5,18.9,0.819,7.0,25.9,33.0,18.4,7.5,3.7,15.0,18.1,79.9,per_game-opponent,22.0,4425.0,653.0,1530.0,0.427,130.0,418.0,0.311,523.0,1112.0,0.47,332.0,440.0,0.755,220.0,561.0,781.0,403.0,202.0,69.0,292.0,413.0,1768.0,totals-team,22.0,4425.0,634.0,1431.0,0.443,150.0,455.0,0.33,484.0,976.0,0.496,340.0,415.0,0.819,155.0,570.0,725.0,405.0,165.0,81.0,329.0,399.0,1758.0,totals-opponent,22.0,4425.0,37.5,88.0,0.427,7.5,24.0,0.311,30.1,63.9,0.47,19.1,25.3,0.755,12.7,32.3,44.9,23.2,11.6,4.0,16.8,23.7,101.7,per_poss-team,22.0,4425.0,36.5,82.3,0.443,8.6,26.2,0.33,27.8,56.1,0.496,19.6,23.9,0.819,8.9,32.8,41.7,23.3,9.5,4.7,18.9,22.9,101.1,per_poss-opponent,3.0,22.0,4425.0,0.427,12.7,,0.727,0.145,0.354,0.101,0.127,0.273,,0.47,0.716,0.437,0.355,0.371,0.311,,0.562,0.838,,0.1,0.405,shooting-team,3.0,22.0,4425.0,0.443,14.0,,0.682,0.143,0.316,0.105,0.118,0.318,,0.496,0.717,0.48,0.367,0.385,0.33,,0.564,0.88,,0.101,0.348,shooting-opponent,27.5,10,12,11,11,0.45,-0.04,0.42,101.7,101.1,+0.6,78.6,.288,.273,.513,,.469,14.5,27.8,.217,,.495,16.9,78.4,.238,,IMG Academy,advanced-team
Connecticut Sun,32.0,201.6,29.2,65.6,0.444,7.0,19.6,0.356,22.2,46.1,0.482,14.4,17.7,0.816,9.7,26.9,36.6,18.0,7.8,3.6,13.9,17.8,79.7,per_game-team,2021,32.0,201.6,25.5,62.4,0.409,6.3,20.3,0.31,19.3,42.2,0.456,12.6,15.3,0.824,5.9,21.5,27.3,16.8,7.1,4.6,13.3,18.0,69.9,per_game-opponent,32.0,6450.0,933.0,2100.0,0.444,223.0,626.0,0.356,710.0,1474.0,0.482,462.0,566.0,0.816,311.0,860.0,1171.0,577.0,251.0,115.0,444.0,570.0,2551.0,totals-team,32.0,6450.0,817.0,1998.0,0.409,201.0,648.0,0.31,616.0,1350.0,0.456,402.0,488.0,0.824,188.0,687.0,875.0,537.0,226.0,148.0,425.0,576.0,2237.0,totals-opponent,32.0,6450.0,39.1,88.0,0.444,9.3,26.2,0.356,29.8,61.8,0.482,19.4,23.7,0.816,13.0,36.0,49.1,24.2,10.5,4.8,18.6,23.9,106.9,per_poss-team,32.0,6450.0,34.2,83.7,0.409,8.4,27.2,0.31,25.8,56.6,0.456,16.8,20.4,0.824,7.9,28.8,36.7,22.5,9.5,6.2,17.8,24.1,93.7,per_poss-opponent,3.0,32.0,6450.0,0.444,12.5,,0.702,0.281,0.201,0.125,0.094,0.298,,0.482,0.631,0.423,0.354,0.33,0.356,,0.546,0.848,,0.168,0.333,shooting-team,3.0,32.0,6450.0,0.409,13.0,,0.676,0.23,0.203,0.121,0.122,0.324,,0.456,0.58,0.421,0.394,0.342,0.31,,0.581,0.891,,0.164,0.368,shooting-opponent,28.3,26,6,28,4,9.81,-0.95,8.86,106.9,93.7,+13.2,74.0,.270,.298,.543,,.497,15.9,31.2,.220,,.459,16.1,82.1,.201,,Mohegan Sun Arena,advanced-team
