team,month,day,home_away,opp,win_loss,team_score,opp_score,team_3p_pct,team_ft_pct,opponent_fg_pct,opponent_3p_pct,opponent_ft_pct,advanced_ortg,advanced_drtg,advanced_pace,advanced_ftr,advanced_3par,advanced_ts_pct,advanced_trb_pct,advanced_ast_pct,advanced_stl_pct,advanced_blk_pct,offensive_four_factors_tov_pct,offensive_four_factors_orb_pct,defensive_four_factors_efg_pct,defensive_four_factors_tov_pct,defensive_four_factors_drb_pct,defensive_four_factors_ft_per_fga,day_of_week,team_vs_opp_median_score,team_vs_opp_homeaway_median_score,team_home_or_away_median_score,team_day_median_score,team_day_median_allowed,travel_distance,median_score_for,median_score_against,month_by_team_home_away,day_by_team_home_away,win_loss_by_team_home_away,advanced_ortg_by_team_home_away,advanced_drtg_by_team_home_away,advanced_pace_by_team_home_away,advanced_ftr_by_team_home_away,advanced_3par_by_team_home_away,advanced_ts_pct_by_team_home_away,advanced_trb_pct_by_team_home_away,advanced_ast_pct_by_team_home_away,advanced_stl_pct_by_team_home_away,advanced_blk_pct_by_team_home_away,offensive_four_factors_tov_pct_by_team_home_away,offensive_four_factors_orb_pct_by_team_home_away,offensive_four_factors_ft_per_fga_by_team_home_away,defensive_four_factors_efg_pct_by_team_home_away,defensive_four_factors_tov_pct_by_team_home_away,defensive_four_factors_drb_pct_by_team_home_away,defensive_four_factors_ft_per_fga_by_team_home_away,day_of_week_by_team_home_away,team_vs_opp_median_score_by_team_home_away,team_day_median_score_by_team_home_away,travel_distance_by_team_home_away,median_score_for_by_team_home_away,median_score_against_by_team_home_away,month_by_team_day_of_week,day_by_team_day_of_week,home_away_by_team_day_of_week,win_loss_by_team_day_of_week,advanced_ortg_by_team_day_of_week,advanced_drtg_by_team_day_of_week,advanced_pace_by_team_day_of_week,advanced_ftr_by_team_day_of_week,advanced_3par_by_team_day_of_week,advanced_ts_pct_by_team_day_of_week,advanced_trb_pct_by_team_day_of_week,advanced_ast_pct_by_team_day_of_week,advanced_stl_pct_by_team_day_of_week,advanced_blk_pct_by_team_day_of_week,offensive_four_factors_tov_pct_by_team_day_of_week,offensive_four_factors_orb_pct_by_team_day_of_week,offensive_four_factors_ft_per_fga_by_team_day_of_week,defensive_four_factors_efg_pct_by_team_day_of_week,defensive_four_factors_tov_pct_by_team_day_of_week,defensive_four_factors_drb_pct_by_team_day_of_week,defensive_four_factors_ft_per_fga_by_team_day_of_week,team_vs_opp_median_score_by_team_day_of_week,team_vs_opp_homeaway_median_score_by_team_day_of_week,team_home_or_away_median_score_by_team_day_of_week,travel_distance_by_team_day_of_week,median_score_for_by_team_day_of_week,median_score_against_by_team_day_of_week,month_by_team_travel_distance,day_by_team_travel_distance,home_away_by_team_travel_distance,win_loss_by_team_travel_distance,advanced_ortg_by_team_travel_distance,advanced_drtg_by_team_travel_distance,advanced_pace_by_team_travel_distance,advanced_ftr_by_team_travel_distance,advanced_3par_by_team_travel_distance,advanced_ts_pct_by_team_travel_distance,advanced_trb_pct_by_team_travel_distance,advanced_ast_pct_by_team_travel_distance,advanced_stl_pct_by_team_travel_distance,advanced_blk_pct_by_team_travel_distance,offensive_four_factors_tov_pct_by_team_travel_distance,offensive_four_factors_orb_pct_by_team_travel_distance,offensive_four_factors_ft_per_fga_by_team_travel_distance,defensive_four_factors_efg_pct_by_team_travel_distance,defensive_four_factors_tov_pct_by_team_travel_distance,defensive_four_factors_drb_pct_by_team_travel_distance,defensive_four_factors_ft_per_fga_by_team_travel_distance,day_of_week_by_team_travel_distance,team_vs_opp_median_score_by_team_travel_distance,team_vs_opp_homeaway_median_score_by_team_travel_distance,team_home_or_away_median_score_by_team_travel_distance,team_day_median_score_by_team_travel_distance,team_day_median_allowed_by_team_travel_distance
ATL,5,15,2,LAS,1,92,81,0.471,0.842,0.389,0.387,0.591,114.0,100.4,80.7,0.284,0.254,0.61,49.3,58.8,9.9,22.0,14.7,20.6,0.472,11.9,77.1,0.181,4,87.0,86.0,78.0,73.0,78.0,0,77.0,79.5,7.0,15.0,2.0,100.15,101.2,77.35,0.2935,0.2655,0.5225,51.05,67.15,9.05,9.0,14.85,23.6,0.197,0.473,12.45,77.35,0.216,4.0,76.0,76.0,2.0,78.0,80.0,7.0,19.0,2.0,2.0,99.6,95.2,79.4,0.284,0.288,0.512,50.5,68.0,6.5,8.9,14.8,19.2,0.197,0.46,11.1,77.5,0.148,76.0,75.5,78.0,2.0,78.0,80.0,7.0,19.5,1.0,2.0,100.1,101.1,76.6,0.244,0.299,0.469,49.65,67.35,10.15,9.1,12.25,23.75,0.1915,0.473,14.05,77.6,0.1815,3.0,75.0,70.0,78.5,76.0,80.0
ATL,5,18,2,PHO,2,85,88,0.435,0.778,0.409,0.261,0.875,103.6,107.3,82.0,0.409,0.348,0.546,46.5,77.8,9.8,11.6,14.3,18.4,0.455,13.0,78.8,0.424,7,76.0,75.5,78.0,87.0,84.0,1,77.5,77.5,7.0,15.0,2.0,100.15,101.2,77.35,0.2935,0.2655,0.5225,51.05,67.15,9.05,9.0,14.85,23.6,0.197,0.473,12.45,77.35,0.216,4.0,76.0,76.0,2.0,78.0,80.0,5.5,13.0,2.0,1.5,108.55,104.65,80.2,0.3735,0.2915,0.558,49.1,74.4,13.85,9.9,14.3,25.85,0.3135,0.4815,17.7,76.44999999999999,0.3705,78.75,77.25,78.0,1.5,77.75,78.75,7.5,10.5,2.0,2.0,101.25,102.5,75.55,0.2115,0.3155,0.537,51.85,65.65,7.5,9.45,14.6,19.8,0.1725,0.4639999999999999,12.2,79.69999999999999,0.305,2.0,76.0,76.0,78.0,76.0,80.0
ATL,5,21,1,DAL,1,83,78,0.318,0.727,0.429,0.125,0.8,107.0,100.5,77.6,0.306,0.306,0.508,50.7,56.7,11.6,5.6,12.8,35.1,0.443,15.1,67.6,0.229,3,83.0,95.0,78.5,72.5,77.0,3,81.0,85.0,7.0,16.5,2.0,99.0,101.6,76.65,0.27,0.2755,0.495,51.05,66.7,10.2,7.25,11.95,25.25,0.2205,0.5,14.05,79.1,0.193,3.0,75.5,76.0,2.0,78.0,80.0,8.0,10.5,1.0,2.0,95.55,101.4,74.8,0.27,0.315,0.481,50.35,62.9,10.05,6.35,12.05,23.3,0.2005,0.4935,14.35,79.15,0.2075,78.75,78.5,78.5,2.0,78.0,80.0,7.0,17.0,2.0,2.0,102.2,104.5,77.6,0.306,0.288,0.517,50.8,62.1,8.2,8.9,14.2,34.2,0.222,0.46,11.7,71.8,0.227,4.0,81.0,75.5,78.0,73.0,78.0
ATL,5,26,1,MIN,2,79,92,0.273,0.786,0.5,0.448,0.739,107.0,124.6,73.8,0.206,0.324,0.533,50.8,74.2,12.2,3.0,11.9,27.8,0.605,12.2,81.5,0.274,1,71.5,71.5,78.5,76.0,80.0,0,77.0,79.5,7.0,16.5,2.0,99.0,101.6,76.65,0.27,0.2755,0.495,51.05,66.7,10.2,7.25,11.95,25.25,0.2205,0.5,14.05,79.1,0.193,3.0,75.5,76.0,2.0,78.0,80.0,7.0,15.0,2.0,2.0,101.2,102.3,76.1,0.217,0.243,0.497,51.3,66.7,10.4,7.3,12.6,27.8,0.165,0.475,13.5,78.1,0.219,75.0,74.5,78.0,1.0,77.5,79.5,7.0,19.5,1.0,2.0,100.1,101.1,76.6,0.244,0.299,0.469,49.65,67.35,10.15,9.1,12.25,23.75,0.1915,0.473,14.05,77.6,0.1815,3.0,75.0,70.0,78.5,76.0,80.0
ATL,5,29,2,WAS,1,73,67,0.286,0.714,0.365,0.222,1.0,92.0,84.4,79.4,0.339,0.339,0.512,53.7,73.1,11.3,4.3,19.3,18.5,0.405,14.4,77.5,0.095,4,71.0,74.5,78.0,73.0,78.0,2,78.0,80.0,7.0,15.0,2.0,100.15,101.2,77.35,0.2935,0.2655,0.5225,51.05,67.15,9.05,9.0,14.85,23.6,0.197,0.473,12.45,77.35,0.216,4.0,76.0,76.0,2.0,78.0,80.0,7.0,19.0,2.0,2.0,99.6,95.2,79.4,0.284,0.288,0.512,50.5,68.0,6.5,8.9,14.8,19.2,0.197,0.46,11.1,77.5,0.148,76.0,75.5,78.0,2.0,78.0,80.0,7.0,15.0,2.0,2.0,99.0,99.9,77.5,0.322,0.262,0.512,52.1,67.6,9.1,8.2,14.3,24.4,0.243,0.5,14.4,79.5,0.2,4.0,75.0,76.5,78.0,76.0,80.0
ATL,5,31,1,LVA,1,78,74,0.5,0.897,0.362,0.286,0.9,95.0,90.1,82.1,0.475,0.262,0.529,52.8,77.3,6.1,8.3,13.0,8.8,0.406,12.4,92.1,0.261,6,72.0,74.0,78.5,78.5,82.5,2,78.0,80.0,7.0,16.5,2.0,99.0,101.6,76.65,0.27,0.2755,0.495,51.05,66.7,10.2,7.25,11.95,25.25,0.2205,0.5,14.05,79.1,0.193,3.0,75.5,76.0,2.0,78.0,80.0,7.5,18.5,1.0,2.0,99.1,100.65,78.6,0.3535,0.272,0.514,52.85,64.9,9.1,8.3,13.65,24.05,0.2695,0.5,16.2,80.65,0.2,74.25,75.0,78.5,2.0,78.0,80.0,7.0,15.0,2.0,2.0,99.0,99.9,77.5,0.322,0.262,0.512,52.1,67.6,9.1,8.2,14.3,24.4,0.243,0.5,14.4,79.5,0.2,4.0,75.0,76.5,78.0,76.0,80.0
ATL,6,2,1,CON,2,50,69,0.188,0.75,0.424,0.333,0.538,65.7,90.7,76.1,0.179,0.239,0.346,42.3,52.6,13.1,12.5,14.2,17.4,0.47,17.3,78.1,0.106,1,72.5,66.0,78.5,76.0,80.0,0,77.0,79.5,7.0,16.5,2.0,99.0,101.6,76.65,0.27,0.2755,0.495,51.05,66.7,10.2,7.25,11.95,25.25,0.2205,0.5,14.05,79.1,0.193,3.0,75.5,76.0,2.0,78.0,80.0,7.0,15.0,2.0,2.0,101.2,102.3,76.1,0.217,0.243,0.497,51.3,66.7,10.4,7.3,12.6,27.8,0.165,0.475,13.5,78.1,0.219,75.0,74.5,78.0,1.0,77.5,79.5,7.0,19.5,1.0,2.0,100.1,101.1,76.6,0.244,0.299,0.469,49.65,67.35,10.15,9.1,12.25,23.75,0.1915,0.473,14.05,77.6,0.1815,3.0,75.0,70.0,78.5,76.0,80.0
ATL,6,6,1,NYL,2,61,78,0.143,0.824,0.392,0.29,0.846,79.6,101.8,76.6,0.266,0.328,0.427,43.6,68.2,10.4,9.3,14.4,17.5,0.453,14.0,71.1,0.149,5,75.0,68.0,78.5,78.0,78.0,0,77.0,79.5,7.0,16.5,2.0,99.0,101.6,76.65,0.27,0.2755,0.495,51.05,66.7,10.2,7.25,11.95,25.25,0.2205,0.5,14.05,79.1,0.193,3.0,75.5,76.0,2.0,78.0,80.0,6.0,13.0,2.0,2.0,107.1,101.8,76.6,0.266,0.328,0.545,47.7,71.0,10.4,6.5,14.4,30.3,0.219,0.467,14.8,71.1,0.183,75.0,76.5,78.0,2.0,78.0,80.0,7.0,19.5,1.0,2.0,100.1,101.1,76.6,0.244,0.299,0.469,49.65,67.35,10.15,9.1,12.25,23.75,0.1915,0.473,14.05,77.6,0.1815,3.0,75.0,70.0,78.5,76.0,80.0
ATL,6,8,2,CHI,1,89,80,0.375,0.913,0.483,0.273,0.905,113.5,102.0,78.4,0.338,0.235,0.57,51.7,71.0,17.9,8.2,14.3,33.3,0.508,22.4,74.1,0.317,7,81.5,79.0,78.0,87.0,84.0,2,78.0,80.0,7.0,15.0,2.0,100.15,101.2,77.35,0.2935,0.2655,0.5225,51.05,67.15,9.05,9.0,14.85,23.6,0.197,0.473,12.45,77.35,0.216,4.0,76.0,76.0,2.0,78.0,80.0,5.5,13.0,2.0,1.5,108.55,104.65,80.2,0.3735,0.2915,0.558,49.1,74.4,13.85,9.9,14.3,25.85,0.3135,0.4815,17.7,76.44999999999999,0.3705,78.75,77.25,78.0,1.5,77.75,78.75,7.0,15.0,2.0,2.0,99.0,99.9,77.5,0.322,0.262,0.512,52.1,67.6,9.1,8.2,14.3,24.4,0.243,0.5,14.4,79.5,0.2,4.0,75.0,76.5,78.0,76.0,80.0
ATL,6,11,1,WAS,2,68,87,0.348,0.667,0.477,0.548,0.727,92.3,118.1,73.7,0.269,0.343,0.454,45.7,66.7,4.1,5.9,9.6,19.5,0.608,13.6,82.8,0.123,3,71.0,68.5,78.5,72.5,77.0,2,78.0,80.0,7.0,16.5,2.0,99.0,101.6,76.65,0.27,0.2755,0.495,51.05,66.7,10.2,7.25,11.95,25.25,0.2205,0.5,14.05,79.1,0.193,3.0,75.5,76.0,2.0,78.0,80.0,8.0,10.5,1.0,2.0,95.55,101.4,74.8,0.27,0.315,0.481,50.35,62.9,10.05,6.35,12.05,23.3,0.2005,0.4935,14.35,79.15,0.2075,78.75,78.5,78.5,2.0,78.0,80.0,7.0,15.0,2.0,2.0,99.0,99.9,77.5,0.322,0.262,0.512,52.1,67.6,9.1,8.2,14.3,24.4,0.243,0.5,14.4,79.5,0.2,4.0,75.0,76.5,78.0,76.0,80.0
