advanced_3par,advanced_ast_pct,advanced_blk_pct,advanced_drtg,advanced_ftr,advanced_ortg,advanced_pace,advanced_pace_by_team_day_of_week,advanced_stl_pct,advanced_trb_pct,advanced_ts_pct,day,defensive_four_factors_drb_pct,defensive_four_factors_efg_pct,defensive_four_factors_ft_per_fga,defensive_four_factors_tov_pct,month,month_by_team_day_of_week,offensive_four_factors_orb_pct,offensive_four_factors_tov_pct,opponent_3p_pct,opponent_fg_pct,opponent_ft_pct,team_3p_pct,team_day_median_allowed,team_ft_pct,team_vs_opp_homeaway_median_score,team_vs_opp_median_score,team,opp,team_score,opp_score,A'ja Wilson,Aaliyah Edwards,Aari McDonald,Alanna Smith,Aliyah Boston,Allisha Gray,Alysha Clark,Alyssa Thomas,Angel Reese,Ariel Atkins,Arike Ogunbowale,Azura Stevens,Breanna Stewart,Bridget Carleton,Brionna Jones,Brittney Griner,Caitlin Clark,Cameron Brink,Chelsea Gray,Chennedy Carter,Cheyenne Parker-Tyus,DeWanna Bonner,Dearica Hamby,Diana Taurasi,Elizabeth Williams,Ezi Magbegor,Jackie Young,Jonquel Jones,Jordan Horston,Kahleah Copper,Kamilla Cardoso,Kayla McBride,Kelsey Mitchell,Kelsey Plum,Kiah Stokes,Leonie Fiebich,Marina Mabrey,Monique Billings,Myisha Hines-Allen,NaLyssa Smith,Napheesa Collier,Natasha Howard,Naz Hillmon,Nneka Ogwumike,Odyssey Sims,Rebecca Allen,Rhyne Howard,Rickea Jackson,Sabrina Ionescu,Satou Sabally,Shatori Walker-Kimbrough,Skylar Diggins-Smith,Sophie Cunningham,Stefanie Dolson,Teaira McCowan,Temi Fagbenle,Tina Charles
0.254,58.8,22.0,100.4,0.284,114.0,80.7,79.4,9.9,49.3,0.61,15,77.1,0.472,0.181,11.9,5,7.0,20.6,14.7,0.387,0.389,0.591,0.471,78.0,0.842,86.0,87.0,ATL,LAS,92,81,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.348,77.8,11.6,107.3,0.409,103.6,82.0,80.2,9.8,46.5,0.546,18,78.8,0.455,0.424,13.0,5,5.5,18.4,14.3,0.261,0.409,0.875,0.435,84.0,0.778,75.5,76.0,ATL,PHO,85,88,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.306,56.7,5.6,100.5,0.306,107.0,77.6,74.8,11.6,50.7,0.508,21,67.6,0.443,0.229,15.1,5,8.0,35.1,12.8,0.125,0.429,0.8,0.318,77.0,0.727,95.0,83.0,ATL,DAL,83,78,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.324,74.2,3.0,124.6,0.206,107.0,73.8,76.1,12.2,50.8,0.533,26,81.5,0.605,0.274,12.2,5,7.0,27.8,11.9,0.448,0.5,0.739,0.273,80.0,0.786,71.5,71.5,ATL,MIN,79,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.339,73.1,4.3,84.4,0.339,92.0,79.4,79.4,11.3,53.7,0.512,29,77.5,0.405,0.095,14.4,5,7.0,18.5,19.3,0.222,0.365,1.0,0.286,78.0,0.714,74.5,71.0,ATL,WAS,73,67,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.262,77.3,8.3,90.1,0.475,95.0,82.1,78.6,6.1,52.8,0.529,31,92.1,0.406,0.261,12.4,5,7.5,8.8,13.0,0.286,0.362,0.9,0.5,82.5,0.897,74.0,72.0,ATL,LVA,78,74,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.239,52.6,12.5,90.7,0.179,65.7,76.1,76.1,13.1,42.3,0.346,2,78.1,0.47,0.106,17.3,6,7.0,17.4,14.2,0.333,0.424,0.538,0.188,80.0,0.75,66.0,72.5,ATL,CON,50,69,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.328,68.2,9.3,101.8,0.266,79.6,76.6,76.6,10.4,43.6,0.427,6,71.1,0.453,0.149,14.0,6,6.0,17.5,14.4,0.29,0.392,0.846,0.143,78.0,0.824,68.0,75.0,ATL,NYL,61,78,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.235,71.0,8.2,102.0,0.338,113.5,78.4,80.2,17.9,51.7,0.57,8,74.1,0.508,0.317,22.4,6,5.5,33.3,14.3,0.273,0.483,0.905,0.375,84.0,0.913,79.0,81.5,ATL,CHI,89,80,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.343,66.7,5.9,118.1,0.269,92.3,73.7,74.8,4.1,45.7,0.454,11,82.8,0.608,0.123,13.6,6,8.0,19.5,9.6,0.548,0.477,0.727,0.348,77.0,0.667,68.5,71.0,ATL,WAS,68,87,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.358,71.4,6.5,118.6,0.343,109.5,76.7,76.6,7.8,47.7,0.545,13,65.6,0.507,0.25,14.8,6,6.0,30.3,12.5,0.346,0.444,0.947,0.375,78.0,0.826,92.0,81.5,ATL,IND,84,91,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.221,73.3,2.3,96.4,0.382,113.3,76.7,76.1,10.4,53.5,0.548,16,77.8,0.412,0.265,13.6,6,7.0,28.6,11.2,0.32,0.353,1.0,0.4,80.0,0.808,87.0,87.0,ATL,LAS,87,74,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.348,84.2,16.7,90.4,0.303,73.1,75.2,79.4,5.3,50.5,0.368,19,77.3,0.401,0.092,10.2,6,7.0,25.5,14.8,0.318,0.355,0.875,0.174,78.0,0.65,67.0,71.5,ATL,MIN,55,68,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.277,81.8,4.5,114.2,0.538,99.2,79.7,78.6,10.0,46.2,0.491,21,82.1,0.654,0.092,16.7,6,7.5,18.9,12.0,0.524,0.569,0.545,0.222,82.5,0.886,79.0,81.5,ATL,IND,79,91,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.152,70.0,8.9,119.6,0.241,93.4,80.2,76.1,6.2,51.3,0.429,23,78.8,0.586,0.2,13.5,6,7.0,31.1,10.3,0.4,0.514,0.933,0.167,80.0,0.684,68.0,75.0,ATL,NYL,75,96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.246,64.3,15.8,95.5,0.386,100.7,77.5,78.6,15.5,55.2,0.585,28,81.8,0.449,0.356,20.4,6,7.5,20.0,18.4,0.333,0.39,0.808,0.429,82.5,0.727,72.5,72.5,ATL,CON,78,74,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.283,55.2,6.3,106.8,0.217,98.9,75.8,76.1,2.6,56.9,0.571,30,86.8,0.486,0.169,6.0,6,7.0,14.8,18.6,0.333,0.394,0.75,0.353,80.0,0.846,76.5,75.0,ATL,NYL,75,81,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.324,90.0,3.6,109.1,0.235,98.8,77.9,74.8,7.7,52.1,0.513,2,72.2,0.514,0.186,11.4,7,8.0,31.4,19.3,0.429,0.471,0.722,0.318,77.0,0.625,81.5,81.5,ATL,CHI,77,85,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.098,67.6,12.5,96.3,0.311,92.9,88.2,78.6,9.1,52.6,0.591,5,77.4,0.5,0.232,18.6,7,7.5,23.1,28.8,0.333,0.449,0.727,0.333,82.5,0.632,82.0,83.0,ATL,DAL,82,85,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.169,66.7,9.8,120.8,0.322,101.2,66.2,76.1,6.0,46.3,0.497,7,66.7,0.516,0.219,8.8,7,7.0,26.5,12.9,0.435,0.438,0.737,0.4,80.0,0.789,72.5,72.5,ATL,CON,67,80,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.145,67.9,8.8,95.2,0.232,84.2,81.9,79.4,7.3,45.6,0.454,10,79.5,0.473,0.108,11.1,7,7.0,12.5,15.5,0.353,0.432,0.615,0.2,78.0,0.688,79.0,81.5,ATL,CHI,69,78,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.247,55.2,9.8,101.4,0.195,84.5,82.8,78.6,4.8,56.6,0.419,12,92.1,0.5,0.2,10.4,7,7.5,26.7,14.3,0.414,0.414,0.824,0.105,82.5,0.667,74.0,72.0,ATL,LVA,70,84,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.233,64.3,10.6,102.3,0.205,88.4,79.2,76.1,11.4,52.7,0.44,14,72.2,0.433,0.213,11.7,7,7.0,34.2,16.7,0.179,0.4,0.889,0.176,80.0,0.733,75.5,81.0,ATL,SEA,70,81,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.254,62.1,8.9,111.3,0.356,102.2,77.2,79.4,6.5,50.8,0.579,17,71.8,0.46,0.227,7.6,7,7.0,19.2,19.0,0.367,0.387,0.739,0.333,78.0,0.762,67.0,71.5,ATL,MIN,79,86,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.27,43.3,8.3,99.9,0.365,102.3,81.1,78.6,11.1,57.8,0.568,16,82.4,0.5,0.157,15.7,8,7.5,30.0,20.6,0.273,0.457,0.917,0.353,82.5,0.739,83.0,81.0,ATL,SEA,83,81,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.254,69.2,0.0,89.5,0.492,104.8,78.2,76.1,11.5,45.9,0.535,18,71.1,0.385,0.308,18.5,8,7.0,19.4,12.6,0.25,0.354,0.909,0.313,80.0,0.806,66.0,72.5,ATL,CON,82,70,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.425,68.0,2.4,88.7,0.219,101.4,71.0,79.4,4.2,58.8,0.45,21,91.2,0.443,0.148,14.4,8,7.0,34.8,9.1,0.316,0.393,0.9,0.29,78.0,0.813,76.0,76.0,ATL,PHO,72,63,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.405,65.5,10.2,107.1,0.189,104.5,76.6,78.6,9.1,50.0,0.499,23,79.4,0.53,0.182,14.1,8,7.5,23.7,9.1,0.353,0.485,0.75,0.333,82.5,0.857,76.0,76.0,ATL,PHO,80,82,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.397,66.7,10.2,105.1,0.247,98.8,79.9,79.9,6.3,46.9,0.488,26,71.8,0.474,0.158,13.6,8,8.0,23.8,11.0,0.37,0.408,0.8,0.345,84.0,0.833,79.0,81.5,ATL,IND,79,84,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.288,71.9,9.1,104.5,0.164,99.6,81.3,79.4,6.1,49.3,0.517,28,85.3,0.486,0.208,8.1,8,7.0,17.9,14.2,0.471,0.431,0.833,0.286,78.0,0.917,75.5,81.0,ATL,SEA,81,85,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.408,61.5,7.5,114.1,0.183,99.0,72.7,78.6,5.5,51.3,0.469,30,79.5,0.522,0.159,6.2,8,7.5,24.4,10.5,0.345,0.449,0.688,0.379,82.5,0.692,72.0,72.0,ATL,LVA,72,83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.243,68.8,7.3,88.6,0.186,114.3,70.0,76.1,5.7,57.5,0.528,1,80.6,0.395,0.21,11.4,9,7.0,35.1,10.6,0.143,0.371,0.722,0.412,80.0,0.692,86.0,87.0,ATL,LAS,80,62,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.368,62.5,13.3,98.2,0.206,87.6,75.3,74.8,9.3,46.8,0.445,3,75.9,0.473,0.4,20.4,9,8.0,21.2,14.9,0.24,0.418,0.846,0.28,77.0,0.786,75.5,76.0,ATL,PHO,66,74,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.321,61.5,5.9,112.8,0.41,125.8,75.6,78.6,8.2,52.9,0.581,6,69.7,0.549,0.254,18.2,9,7.5,37.8,8.9,0.4,0.493,0.818,0.32,82.5,0.656,95.0,83.0,ATL,DAL,107,96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.277,48.7,11.6,117.6,0.191,113.1,78.6,76.1,9.0,50.7,0.491,8,76.7,0.618,0.294,17.7,9,7.0,33.3,7.3,0.4,0.544,0.8,0.346,80.0,0.722,92.0,81.5,ATL,IND,100,104,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.257,57.1,6.8,102.3,0.271,86.1,74.3,74.8,10.8,50.0,0.408,10,87.1,0.555,0.078,12.8,9,8.0,23.3,11.3,0.35,0.5,0.556,0.278,77.0,0.895,71.5,71.5,ATL,MIN,64,76,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.274,66.7,7.7,97.0,0.342,93.0,74.2,78.6,16.2,55.4,0.411,13,75.0,0.5,0.2,20.3,9,7.5,40.5,14.3,0.381,0.433,0.8,0.25,82.5,0.88,68.5,71.0,ATL,WAS,69,72,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.364,61.5,3.6,90.5,0.379,94.3,71.7,76.1,16.1,57.4,0.494,15,87.5,0.475,0.288,20.9,9,7.0,24.1,16.3,0.323,0.39,0.81,0.167,80.0,0.8,74.5,71.0,ATL,WAS,76,73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.242,63.3,9.3,95.5,0.484,117.3,73.3,74.8,12.3,54.7,0.572,17,82.4,0.459,0.23,16.0,9,8.0,23.3,8.5,0.333,0.41,0.875,0.333,77.0,0.7,81.5,81.5,ATL,CHI,86,70,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
