Model,Feature,Target,Importance
LVA,advanced_drtg,opp_score,0.9506009633905453
LVA,advanced_ortg,team_score,0.948602372615867
NYL,advanced_ortg,team_score,0.9469002877326198
CHI,advanced_drtg,opp_score,0.9395137180504409
SEA,advanced_ortg,team_score,0.9351036000185694
CON,advanced_ortg,team_score,0.9322421042034396
DAL,advanced_ortg,team_score,0.9315990744446163
SEA,advanced_drtg,opp_score,0.9296471360328941
NYL,advanced_drtg,opp_score,0.9281811247852558
WAS,advanced_ortg,team_score,0.9248989346303377
LAS,advanced_ortg,team_score,0.917135229579151
League,advanced_drtg,opp_score,0.914717467436455
League,advanced_ortg,team_score,0.9135022715106309
MIN,advanced_ortg,team_score,0.9074673607016698
IND,advanced_drtg,opp_score,0.903833126820536
IND,advanced_ortg,team_score,0.8962236400929569
PHO,advanced_drtg,opp_score,0.8960995324783345
ATL,advanced_ortg,team_score,0.8931133619498975
LAS,advanced_drtg,opp_score,0.892267785848222
CHI,advanced_ortg,team_score,0.8917185503939278
WAS,advanced_drtg,opp_score,0.8908439184234532
CON,advanced_drtg,opp_score,0.8808766578524656
DAL,advanced_drtg,opp_score,0.8682820499211109
MIN,advanced_drtg,opp_score,0.861406813715757
ATL,advanced_drtg,opp_score,0.8603047062866845
PHO,advanced_ortg,team_score,0.8382233544345344
PHO,advanced_drtg,team_score,0.16177664556546564
ATL,advanced_ortg,opp_score,0.1396952937133154
MIN,advanced_ortg,opp_score,0.138593186284243
DAL,advanced_ortg,opp_score,0.13171795007888917
CON,advanced_ortg,opp_score,0.11912334214753431
WAS,advanced_ortg,opp_score,0.10915608157654681
CHI,advanced_drtg,team_score,0.10828144960607224
LAS,advanced_ortg,opp_score,0.10773221415177807
ATL,advanced_drtg,team_score,0.10688663805010243
PHO,advanced_ortg,opp_score,0.1039004675216655
IND,advanced_drtg,team_score,0.10377635990704318
IND,advanced_ortg,opp_score,0.09616687317946389
MIN,advanced_drtg,team_score,0.09253263929833018
League,advanced_drtg,team_score,0.08649772848936907
League,advanced_ortg,opp_score,0.08528253256354502
LAS,advanced_drtg,team_score,0.08286477042084914
WAS,advanced_drtg,team_score,0.0751010653696623
NYL,advanced_ortg,opp_score,0.07181887521474412
SEA,advanced_ortg,opp_score,0.070352863967106
DAL,advanced_drtg,team_score,0.06840092555538366
CON,advanced_drtg,team_score,0.06775789579656044
SEA,advanced_drtg,team_score,0.0648963999814306
CHI,advanced_ortg,opp_score,0.060486281949559045
NYL,advanced_drtg,team_score,0.05309971226738016
LVA,advanced_drtg,team_score,0.05139762738413309
LVA,advanced_ortg,opp_score,0.04939903660945467
