Model,Feature,Target,Importance
PHO,Satou Sabally,team_score,0.0
PHO,Odyssey Sims,team_score,0.0
PHO,Odyssey Sims,opp_score,0.0
PHO,Rhyne Howard,team_score,0.0
PHO,Rhyne Howard,opp_score,0.0
PHO,Temi Fagbenle,opp_score,0.0
PHO,Tina Charles,team_score,0.0
PHO,Tina Charles,opp_score,0.0
PHO,Rickea Jackson,opp_score,0.0
PHO,Sabrina Ionescu,team_score,0.0
PHO,Sabrina Ionescu,opp_score,0.0
PHO,Nneka Ogwumike,opp_score,0.0
PHO,Satou Sabally,opp_score,0.0
PHO,Shatori Walker-Kimbrough,team_score,0.0
PHO,Shatori Walker-Kimbrough,opp_score,0.0
PHO,Skylar Diggins-Smith,team_score,0.0
PHO,Skylar Diggins-Smith,opp_score,0.0
PHO,Sophie Cunningham,team_score,0.0
PHO,Sophie Cunningham,opp_score,0.0
PHO,Stefanie Dolson,team_score,0.0
PHO,Stefanie Dolson,opp_score,0.0
PHO,Teaira McCowan,opp_score,0.0
PHO,Kelsey Mitchell,opp_score,0.0
PHO,Kelsey Plum,team_score,0.0
PHO,Kelsey Plum,opp_score,0.0
PHO,Kiah Stokes,team_score,0.0
PHO,Kiah Stokes,opp_score,0.0
PHO,Leonie Fiebich,team_score,0.0
PHO,Leonie Fiebich,opp_score,0.0
PHO,Marina Mabrey,team_score,0.0
PHO,Teaira McCowan,team_score,0.0
IND,Shatori Walker-Kimbrough,opp_score,0.0
PHO,Temi Fagbenle,team_score,0.0
PHO,NaLyssa Smith,opp_score,0.0
PHO,Napheesa Collier,team_score,0.0
PHO,Napheesa Collier,opp_score,0.0
PHO,Natasha Howard,team_score,0.0
PHO,Natasha Howard,opp_score,0.0
PHO,Naz Hillmon,team_score,0.0
PHO,Naz Hillmon,opp_score,0.0
PHO,Nneka Ogwumike,team_score,0.0
IND,Satou Sabally,opp_score,0.0
IND,Rebecca Allen,team_score,0.0
IND,Rebecca Allen,opp_score,0.0
IND,Rhyne Howard,team_score,0.0
IND,Rhyne Howard,opp_score,0.0
IND,Rickea Jackson,team_score,0.0
IND,Rickea Jackson,opp_score,0.0
IND,Sabrina Ionescu,team_score,0.0
IND,Sabrina Ionescu,opp_score,0.0
IND,Satou Sabally,team_score,0.0
IND,Odyssey Sims,opp_score,0.0
IND,Shatori Walker-Kimbrough,team_score,0.0
IND,Kiah Stokes,opp_score,0.0
IND,Leonie Fiebich,team_score,0.0
IND,Leonie Fiebich,opp_score,0.0
IND,Marina Mabrey,team_score,0.0
IND,Marina Mabrey,opp_score,0.0
IND,Monique Billings,team_score,0.0
IND,Monique Billings,opp_score,0.0
IND,Myisha Hines-Allen,team_score,0.0
IND,Tina Charles,opp_score,0.0
