Model,Feature,Target,Importance
DAL,Elizabeth Williams,opp_score,0.0
CON,A'ja Wilson,opp_score,0.0
IND,Azura Stevens,opp_score,0.0
IND,Breanna Stewart,team_score,0.0
IND,Breanna Stewart,opp_score,0.0
IND,Bridget Carleton,team_score,0.0
IND,Bridget Carleton,opp_score,0.0
PHO,Arike Ogunbowale,team_score,0.0
PHO,Arike Ogunbowale,opp_score,0.0
PHO,Azura Stevens,team_score,0.0
PHO,Azura Stevens,opp_score,0.0
PHO,Breanna Stewart,team_score,0.0
CHI,Tina Charles,opp_score,0.0
DAL,Elizabeth Williams,team_score,0.0
PHO,Temi Fagbenle,team_score,0.0
DAL,Ezi Magbegor,opp_score,0.0
DAL,Jackie Young,team_score,0.0
PHO,Aaliyah Edwards,opp_score,0.0
IND,A'ja Wilson,team_score,0.0
IND,A'ja Wilson,opp_score,0.0
PHO,Odyssey Sims,opp_score,0.0
IND,Cameron Brink,team_score,0.0
PHO,Rhyne Howard,team_score,0.0
PHO,Rhyne Howard,opp_score,0.0
PHO,Sabrina Ionescu,team_score,0.0
PHO,Sabrina Ionescu,opp_score,0.0
PHO,Satou Sabally,team_score,0.0
PHO,Satou Sabally,opp_score,0.0
LAS,Jonquel Jones,team_score,0.0
DAL,Ezi Magbegor,team_score,0.0
PHO,Cheyenne Parker-Tyus,team_score,0.0
PHO,Cheyenne Parker-Tyus,opp_score,0.0
LAS,Aaliyah Edwards,opp_score,0.0
IND,Aari McDonald,opp_score,0.0
IND,Alanna Smith,team_score,0.0
PHO,Breanna Stewart,opp_score,0.0
PHO,Bridget Carleton,team_score,0.0
IND,Azura Stevens,team_score,0.0
CON,A'ja Wilson,team_score,0.0
CON,Brittney Griner,opp_score,0.0
PHO,Bridget Carleton,opp_score,0.0
LAS,Jonquel Jones,opp_score,0.0
PHO,Kiah Stokes,opp_score,0.0
PHO,Cameron Brink,team_score,0.0
PHO,Cameron Brink,opp_score,0.0
PHO,Chennedy Carter,opp_score,0.0
PHO,Chelsea Gray,team_score,0.0
PHO,Chelsea Gray,opp_score,0.0
PHO,Chennedy Carter,team_score,0.0
PHO,Kamilla Cardoso,team_score,0.0
PHO,Elizabeth Williams,team_score,0.0
PHO,Stefanie Dolson,team_score,0.0
PHO,Stefanie Dolson,opp_score,0.0
PHO,Teaira McCowan,team_score,0.0
PHO,Teaira McCowan,opp_score,0.0
CHI,Aari McDonald,opp_score,0.0
PHO,Kayla McBride,opp_score,0.0
PHO,Kelsey Plum,team_score,0.0
PHO,Kelsey Plum,opp_score,0.0
PHO,Kiah Stokes,team_score,0.0
WAS,Sabrina Ionescu,opp_score,0.0
WAS,Satou Sabally,team_score,0.0
WAS,Satou Sabally,opp_score,0.0
WAS,Teaira McCowan,team_score,0.0
WAS,Teaira McCowan,opp_score,0.0
WAS,Temi Fagbenle,team_score,0.0
WAS,Temi Fagbenle,opp_score,0.0
WAS,Tina Charles,team_score,0.0
PHO,Aari McDonald,team_score,0.0
PHO,Kayla McBride,team_score,0.0
CHI,Alanna Smith,team_score,0.0
CHI,Alanna Smith,opp_score,0.0
WAS,Kelsey Plum,opp_score,0.0
WAS,Kiah Stokes,team_score,0.0
WAS,Kiah Stokes,opp_score,0.0
WAS,Monique Billings,team_score,0.0
WAS,Jonquel Jones,opp_score,0.0
WAS,Jordan Horston,team_score,0.0
WAS,Jordan Horston,opp_score,0.0
WAS,Kahleah Copper,team_score,0.0
WAS,Kahleah Copper,opp_score,0.0
WAS,Kamilla Cardoso,team_score,0.0
CHI,Temi Fagbenle,opp_score,0.0
PHO,Temi Fagbenle,opp_score,0.0
