Model,Target,CV_MAE,CV_RMSE
ATL,team_score,3.5996419906616213,5.14624207598619
ATL,opp_score,3.2048366546630858,4.008516244140605
CHI,team_score,2.330013370513916,2.7841077180314304
CHI,opp_score,2.6046932220458983,3.0364591062871953
CON,team_score,3.489478874206543,4.574507178762767
CON,opp_score,3.958374786376953,4.79612836728064
DAL,team_score,3.9740100860595704,4.928097972654785
DAL,opp_score,3.591304588317871,4.6515664890848
IND,team_score,3.838132858276367,4.7190605568918675
IND,opp_score,4.09468936920166,5.0378552296816235
LAS,team_score,3.173793601989746,4.179724085285495
LAS,opp_score,3.9419583320617675,5.226152661247659
LVA,team_score,2.8250120162963865,3.674683578221731
LVA,opp_score,2.2405426025390627,2.7571307586386427
MIN,team_score,4.141860103607177,5.604449663751453
MIN,opp_score,3.8273494720458983,5.192305986777652
NYL,team_score,2.7501298904418947,3.2762227108331365
NYL,opp_score,2.1277137756347657,2.390300956117165
PHO,team_score,3.7825796127319338,4.839268062422664
PHO,opp_score,4.427111053466797,5.667493799012767
SEA,team_score,2.96872615814209,4.093926488305825
SEA,opp_score,4.322436332702637,5.7568340163192335
WAS,team_score,3.599865531921387,4.459678881648647
WAS,opp_score,3.3573989868164062,4.1903287548205155
League,team_score,1.507980227470398,2.4380818715169825
League,opp_score,1.3767735362052917,2.410586593921608
