Model,Target,MAE,MSE,RMSE
ATL,team_score,5.885000000000001,47.98157500000002,6.926873392808622
ATL,opp_score,5.217500000000003,33.934200000000025,5.825306858870185
CHI,team_score,2.9899999999999984,11.77529999999999,3.4315157000952206
CHI,opp_score,3.2037499999999994,14.468212499999995,3.8037103596357063
CON,team_score,4.683750000000003,29.381787500000037,5.420496979060134
CON,opp_score,3.1899999999999995,17.70105,4.207261579697654
DAL,team_score,1.6287500000000001,3.773787500000001,1.9426238699243867
DAL,opp_score,2.4774999999999974,9.606649999999988,3.099459630322677
IND,team_score,2.5087500000000027,11.578412500000018,3.4027066432474045
IND,opp_score,3.3575,18.3162,4.279742982937176
LAS,team_score,3.7887499999999985,21.99976249999998,4.690390442170031
LAS,opp_score,2.56625,8.5059625,2.916498328475434
LVA,team_score,3.7537499999999966,23.786212499999984,4.877111081367738
LVA,opp_score,5.005000000000003,32.02870000000002,5.659390426538889
MIN,team_score,4.72875,33.76793750000001,5.811018628433401
MIN,opp_score,3.820000000000002,21.733400000000003,4.661909480030689
NYL,team_score,0.875,2.211199999999998,1.4870104236352877
NYL,opp_score,2.2750000000000004,7.5540500000000055,2.7484632069576636
PHO,team_score,3.8562499999999975,28.62703749999997,5.35042404861521
PHO,opp_score,8.62,95.09447499999999,9.75163960572785
SEA,team_score,2.678750000000001,10.663162500000006,3.265449815875296
SEA,opp_score,4.2075,22.369275000000002,4.729616792087917
WAS,team_score,4.663750000000002,27.984862500000006,5.290072069452363
WAS,opp_score,4.1325,22.2412,4.716057675643927
League,team_score,2.1,12.26786041666667,3.5025505587595265
League,opp_score,1.804270833333333,9.852873958333332,3.1389287915359487
